# gamma	d2min
0.000000000000000000e+00 4.958851278710945110e+00
8.000000000000017514e-03 4.947147390466482442e+00
1.600000000000003503e-02 4.908449122153915489e+00
2.400000000000005254e-02 4.940208823641839331e+00
3.200000000000007006e-02 4.887973312599201314e+00
3.999999999999992450e-02 4.943310571521049468e+00
4.799999999999993855e-02 4.885629999366322807e+00
5.599999999999995259e-02 4.941164638433719780e+00
6.399999999999997358e-02 4.958807875897012885e+00
7.199999999999999456e-02 4.907123033153238723e+00
8.000000000000000167e-02 4.891770866807640950e+00
8.800000000000002265e-02 4.907510288361575768e+00
9.600000000000004363e-02 4.906546858601944727e+00
1.040000000000000646e-01 4.894385906651899099e+00
1.120000000000000717e-01 4.918437400336606480e+00
1.200000000000000927e-01 4.865523576797327721e+00
1.279999999999999472e-01 4.846184569999043568e+00
1.359999999999999543e-01 4.938112456390334692e+00
1.439999999999999891e-01 4.945594010267341467e+00
1.520000000000000240e-01 4.940412641836901209e+00
1.600000000000000033e-01 4.936469037501749924e+00
1.680000000000000382e-01 4.940299727088900639e+00
1.760000000000000453e-01 4.882428429633511868e+00
1.840000000000000524e-01 4.938376620108255288e+00
1.920000000000000040e-01 4.933920623734309174e+00
2.000000000000000111e-01 4.935948407296513629e+00
