# gamma	CrltnCoeff
0.000000000000000000e+00 1.529493387079750889e-02
8.000000960995156882e-03 -1.022481908053373412e-01
1.600000192199031376e-02 -1.133835508611379661e-01
2.400000173894361460e-02 -1.154831463639155592e-01
3.200000384398062753e-02 -1.390363709587604246e-01
4.000000594901764045e-02 -1.461355581327256070e-01
4.800000462192909045e-02 -1.196390939382681595e-01
5.600000901504980505e-02 -1.409145294374998247e-01
6.400000768796125505e-02 -1.483042033888574973e-01
7.200000636087269812e-02 -1.443260491199092888e-01
8.000001189803528090e-02 -1.667263887231434649e-01
8.800000942690486272e-02 -1.897902797480683634e-01
9.600000809981633354e-02 -2.116825772340574785e-01
1.040000067727277766e-01 -2.279838861268293493e-01
1.120000168860577627e-01 -2.381507569833131166e-01
1.200000155589692058e-01 -2.376587741883073313e-01
1.280000142318806489e-01 -2.422498596568301577e-01
1.360000140488339671e-01 -2.681843553173121064e-01
1.440000127217453962e-01 -2.929721414619060327e-01
1.520000216910335211e-01 -2.772469957141028285e-01
1.600000215079868393e-01 -3.347910107700040605e-01
1.680000201808982963e-01 -3.129267662366729819e-01
1.760000188538097254e-01 -3.072143468977334146e-01
1.840000289671397116e-01 -3.397524606378797274e-01
1.920000161996326671e-01 -3.507057273114341789e-01
2.000000263129626255e-01 -3.351249326769409342e-01
