# gamma	CrltnCoeff
6.999999999999990605e-03 -7.579274383039195928e-02
1.399999999999998121e-02 -7.621902506709177239e-02
2.099999999999997008e-02 -7.825968796766041846e-02
2.799999999999996242e-02 -8.001776336143021084e-02
3.499999999999995476e-02 -9.060426183954133073e-02
4.199999999999994016e-02 -1.024200568533185918e-01
4.899999999999993250e-02 -1.271843280641867802e-01
5.600000000000008443e-02 -1.448208749642030391e-01
6.299999999999993106e-02 -1.690393479878069261e-01
7.000000000000006217e-02 -1.430522966603835211e-01
7.700000000000005451e-02 -1.563387843019153900e-01
8.400000000000004685e-02 -1.650372235763521156e-01
9.100000000000003919e-02 -1.734806700807035584e-01
9.800000000000003153e-02 -1.849236017298109547e-01
1.050000000000000239e-01 -1.889652974314564027e-01
1.120000000000000162e-01 -2.202670448325955987e-01
1.190000000000000085e-01 -2.423815310920355570e-01
1.260000000000000009e-01 -2.436309678217078445e-01
1.329999999999999793e-01 -2.464152022127628627e-01
1.399999999999999856e-01 -2.561200444415414612e-01
1.469999999999999640e-01 -2.646967594717479777e-01
1.539999999999999702e-01 -2.886542378608777937e-01
1.609999999999999210e-01 -2.717250172532573727e-01
1.679999999999999272e-01 -2.678769879709375634e-01
1.749999999999999334e-01 -2.623738812216897531e-01
1.819999999999999118e-01 -2.952450603989086875e-01
1.890000000000000013e-01 -2.780199327007969456e-01
1.959999999999999798e-01 -2.532948698243918106e-01
