# mu	p(mu)	err
-1.370924465636418518e+03 4.293222029737042126e-07 3.035766410366535646e-07
-9.113969774961486792e+02 6.439833044605572189e-07 3.718039341839274447e-07
-8.194914798680947570e+02 8.586444059474094840e-07 4.293222029737047420e-07
-7.275859822400408348e+02 6.439833044605572189e-07 3.718039341839274447e-07
-6.356804846119869126e+02 1.502627710407964903e-06 5.679398906934081302e-07
-5.437749869839328767e+02 1.287966608921112744e-06 5.258101662665831206e-07
-4.518694893558788408e+02 3.434577623789642595e-06 8.586444059474106487e-07
-3.599639917278250323e+02 9.015766262447788147e-06 1.391162936770902401e-06
-2.680584940997709964e+02 2.060746574273785472e-05 2.103240665066337565e-06
-1.761529964717171879e+02 1.161316559043869999e-04 4.992889861986523652e-06
-8.424749884366315200e+01 1.739613566449449509e-03 1.932426879174241736e-05
7.657998784390883884e+00 8.595674486838039696e-03 4.295529016741814692e-05
9.956349641244469240e+01 3.554787840622270910e-04 8.735414548949839965e-06
1.914689940404987283e+02 2.060746574273785472e-05 2.103240665066337565e-06
2.833744916685525368e+02 7.942460755013528622e-06 1.305732504836767554e-06
3.752799892966065727e+02 2.575933217842225487e-06 7.436078683678539366e-07
4.671854869246606086e+02 1.502627710407964903e-06 5.679398906934081302e-07
5.590909845527146445e+02 4.293222029737042126e-07 3.035766410366535646e-07
6.509964821807686803e+02 4.293222029737063302e-07 3.035766410366550999e-07
9.267129750649303332e+02 4.293222029737042126e-07 3.035766410366535646e-07
