# s	p(s)	error
1.000000000000000000e+00 1.193154106688145255e+00 3.644174356138360493e-02
1.811609194200414219e+00 1.886147335187126350e-01 1.076481143112460390e-02
2.438354098268828540e+00 8.033737711800041648e-02 6.055657648674791713e-03
3.281927872511474220e+00 4.205275063669536989e-02 3.776448489580161525e-03
4.417344703140069662e+00 3.048778232382668221e-02 2.771616574893334944e-03
5.945570708544391181e+00 3.500659040804527528e-02 2.559935422811682529e-03
8.002502278161049531e+00 1.210027390352793990e-02 1.297285532694295810e-03
1.077105056036769071e+01 1.095341533668433079e-02 1.063889746104872266e-03
1.449740670372631612e+01 6.986389987637628765e-03 7.323726687466356649e-04
1.951293422635963282e+01 5.190635906761826950e-03 5.441264914002747746e-04
2.626363527653332852e+01 2.585096450272021760e-03 3.309876838184344747e-04
3.534981105030105653e+01 1.448346552496205782e-03 2.135470488902420003e-04
4.757944314009409226e+01 8.187483627152513906e-04 1.383937324601602881e-04
6.404004271197280218e+01 5.214004442063924693e-04 9.519426159501832201e-05
8.619535664753031767e+01 2.066035914428465757e-04 5.165089786071164392e-05
1.160155301739971492e+02 1.343116429720431974e-04 3.589629650400640921e-05
1.561523006000496423e+02 8.553317905329253356e-05 2.469130197553145504e-05
2.101748011332487067e+02 3.177403431522662225e-05 1.297169519033138931e-05
2.828869434625969461e+02 2.360696206640860840e-05 9.637501906656578839e-06
3.807546021222372019e+02 1.169274786819231405e-05 5.846373934096157023e-06
5.124805876960931528e+02 4.343645075693395930e-06 3.071420888090354595e-06
6.897785379387657940e+02 3.227171706134199936e-06 2.281954997460852882e-06
