# s	p(s)	error
1.000000000000000000e+00 1.264082234459406262e+00 3.995381818910424820e-02
1.804721766827170226e+00 1.735332396869093685e-01 1.101937173949599398e-02
2.424462017082328114e+00 8.385939824572563595e-02 6.609046441840535878e-03
3.257020655659783159e+00 4.458806009650043839e-02 4.157858043009473106e-03
4.375479375074184496e+00 2.510931481810419266e-02 2.692001115767788874e-03
5.878016072274911963e+00 2.599536090775448824e-02 2.363214627977680907e-03
7.896522868499724623e+00 2.142940689641724752e-02 1.851218799675030799e-03
1.060818355139448244e+01 9.880486224703749487e-03 1.084524258792936421e-03
1.425102670302997687e+01 6.734551660265007678e-03 7.725060557144534023e-04
1.914481976169957633e+01 3.627877864193278842e-03 4.891829514145097906e-04
2.571913809059344302e+01 2.602320060711135318e-03 3.574561511142682079e-04
3.455107294592217926e+01 1.681270309114859694e-03 2.478897832010435137e-04
4.641588833612777165e+01 8.434052060553770590e-04 1.514800467645303244e-04
6.235507341273912374e+01 4.860497198111364851e-04 9.921448359666804344e-05
8.376776400682915380e+01 3.768810800958619892e-04 7.537621601917240326e-05
1.125335582600764610e+02 1.346605689434461899e-04 3.887315786436341226e-05
1.511775070615661605e+02 7.517900616505587190e-05 2.505966872168529063e-05
2.030917620904734804e+02 1.865392375415700837e-05 1.076984790090530321e-05
2.728333376486766610e+02 3.239976456503760943e-05 1.224595993944747288e-05
3.665241237079625876e+02 1.378156943416412553e-05 6.890784717082062767e-06
1.193776641714435755e+03 2.115671174853565016e-06 1.496005434499865662e-06
1.603718743751329384e+03 2.362295919963706591e-06 1.363872185296600638e-06
2.154434690031882383e+03 1.172297699147867600e-06 8.289396526368442276e-07
