# s	p(s)	error
1.000000000000000000e+00 1.252499600469805685e+00 3.960751505935487110e-02
1.804721766827170226e+00 1.943235209868949820e-01 1.161305158750646632e-02
2.424462017082328114e+00 8.730696995374265246e-02 6.715920765672511727e-03
3.257020655659783159e+00 4.114725432194749066e-02 3.977855217706852305e-03
4.375479375074184496e+00 1.946528952167733348e-02 2.360513080326597651e-03
5.878016072274911963e+00 2.919223818963694733e-02 2.494061224320799890e-03
7.896522868499724623e+00 2.109567079543372622e-02 1.829226646051940446e-03
1.060818355139448244e+01 1.204305700678853785e-02 1.192440330519969373e-03
1.425102670302997687e+01 5.888521225887177746e-03 7.193973662469457320e-04
1.914481976169957633e+01 3.401963561690278959e-03 4.717674638051692904e-04
2.571913809059344302e+01 2.434956404950245051e-03 3.443548371667870685e-04
3.455107294592217926e+01 1.268773507701358768e-03 2.144618656641255250e-04
4.641588833612777165e+01 7.825442906659353659e-04 1.453148266937320365e-04
6.235507341273912374e+01 6.427702674606341256e-04 1.136268037166263052e-04
8.376776400682915380e+01 2.840889056915285506e-04 6.517446478370682512e-05
1.125335582600764610e+02 7.791006823960961911e-05 2.944723788429697874e-05
1.511775070615661605e+02 6.627968008281724405e-05 2.343340562071750935e-05
2.030917620904734804e+02 4.933728823178330178e-05 1.744336553702460839e-05
2.728333376486766610e+02 2.754427911040616299e-05 1.124490485888281008e-05
3.665241237079625876e+02 1.025170939199434585e-05 5.918827177121750602e-06
6.614740641230146139e+02 9.467488359731657960e-06 4.233989509709593794e-06
8.886238162743397879e+02 2.818964735203830546e-06 1.993309080188368637e-06
1.193776641714435755e+03 2.098381819016052023e-06 1.483780013744812915e-06
