# s	p(s)	error
1.000000000000000000e+00 1.253145815066561530e+00 3.992854574484665242e-02
1.811609194200414219e+00 2.071680973437980688e-01 1.206179295734801510e-02
2.438354098268828540e+00 7.878536487849238656e-02 6.411462065819175347e-03
3.281927872511474220e+00 3.992763346405143327e-02 3.934186625994227915e-03
4.417344703140069662e+00 1.987253076603958529e-02 2.392371569242870196e-03
5.945570708544391181e+00 3.487863126134492509e-02 2.731905241672506410e-03
8.002502278161049531e+00 1.367218802696362062e-02 1.474309950706334223e-03
1.077105056036769071e+01 1.204779266125622673e-02 1.192909230183526129e-03
1.449740670372631612e+01 6.669428903420589888e-03 7.650359631878851999e-04
1.951293422635963282e+01 3.064366139836335011e-03 4.469837409336629747e-04
2.626363527653332852e+01 2.034510002142767959e-03 3.139317088620118814e-04
3.534981105030105653e+01 1.475577884550467647e-03 2.304465491898778011e-04
4.757944314009409226e+01 5.882591669438276246e-04 1.254172757951786687e-04
6.404004271197280218e+01 3.377245923014674965e-04 8.191024508397714047e-05
8.619535664753031767e+01 2.509171973649382183e-04 6.085635929527021372e-05
1.160155301739971492e+02 1.644903814127245568e-04 4.247123385485254991e-05
1.561523006000496423e+02 8.147361575755601173e-05 2.576421950032618198e-05
2.101748011332487067e+02 3.026597972294730674e-05 1.353535761322808598e-05
2.828869434625969461e+02 3.148114461599487129e-05 1.189875423451177234e-05
3.807546021222372019e+02 6.682673022380158718e-06 4.725363410577411075e-06
5.124805876960931528e+02 1.737744802619503801e-05 6.568057985466042830e-06
6.897785379387657940e+02 3.688804982759910755e-06 2.608379017784258378e-06
3.046989570903508138e+03 1.252609394554739734e-06 7.231943711356331951e-07
