# s	p(s)	error
1.000000000000000000e+00 1.313842704569574193e+00 4.039248199189651028e-02
1.804721766827170226e+00 1.933542710154784461e-01 1.153454877198956466e-02
2.424462017082328114e+00 7.375726660151409042e-02 6.146438883459507535e-03
3.257020655659783159e+00 4.460905827442666893e-02 4.124108896374525414e-03
4.375479375074184496e+00 2.270502854027332124e-02 2.538499362356198049e-03
5.878016072274911963e+00 2.239405818198691306e-02 2.175103211296990600e-03
7.896522868499724623e+00 2.170205676680478715e-02 1.847401755363966723e-03
1.060818355139448244e+01 1.533514815770985196e-02 1.339838115488913885e-03
1.425102670302997687e+01 5.141188932699446851e-03 6.693257882948052111e-04
1.914481976169957633e+01 3.048626932948214369e-03 4.446879416547436345e-04
2.571913809059344302e+01 1.738216214024183469e-03 2.897027023373639114e-04
3.455107294592217926e+01 1.329835406640382522e-03 2.186235941344868994e-04
4.641588833612777165e+01 6.153452826021747323e-04 1.283083610445775547e-04
6.235507341273912374e+01 3.584746227775525203e-04 8.449327888309900647e-05
8.376776400682915380e+01 3.409640720874085491e-04 7.109592370582020285e-05
1.125335582600764610e+02 1.875964329680518167e-04 4.549881812449298733e-05
1.511775070615661605e+02 7.392869433544513812e-05 2.464289811181504604e-05
2.030917620904734804e+02 5.503106376599496854e-05 1.834368792199832397e-05
2.728333376486766610e+02 1.820623992372262789e-05 9.103119961861313943e-06
4.923882631706736674e+02 5.044057277518875912e-06 3.566687105626951981e-06
8.886238162743397879e+02 4.192383588069662586e-06 2.420473793118189117e-06
