# gamma	percentage
0.000000000000000000e+00 9.236038055657452839e-01
7.000000152180880890e-03 9.270354545248536970e-01
1.400000030436176178e-02 9.291598086423970004e-01
2.100000045654264527e-02 9.234403937105496452e-01
2.800000060872352356e-02 9.254013359728973098e-01
3.500000190512155690e-02 9.244208648417234775e-01
4.199999976886813896e-02 9.200087447514412320e-01
4.900000106526616189e-02 9.082430911773553550e-01
5.600000121744704712e-02 9.012163814039428900e-01
6.300000251384509087e-02 9.043212066526600257e-01
7.000000266602596222e-02 8.889604922642700968e-01
7.700000396242399903e-02 8.834044891876183803e-01
8.399999953773627792e-02 8.726193067447062246e-01
9.099999968991714927e-02 8.593829464738595991e-01
9.800000098631518608e-02 8.515391774244690515e-01
1.050000068595818292e-01 8.399369357055787022e-01
1.120000024348940942e-01 8.240859857516018572e-01
1.189999980102063870e-01 8.191836300957328065e-01
1.260000038834730163e-01 8.105228017703637322e-01
1.329999994587852952e-01 8.033326801417558505e-01
1.400000064762690899e-01 7.932011451196262497e-01
1.470000009073642033e-01 7.964693822235390241e-01
1.540000079248479981e-01 7.815989034007361225e-01
1.610000035001602492e-01 7.650943060259765005e-01
1.679999990754725558e-01 7.713039565234107720e-01
1.750000049487391574e-01 7.614992452116724486e-01
1.820000016682686017e-01 7.654211297363678890e-01
1.889999960993637151e-01 7.570871251213903141e-01
1.960000019726303722e-01 7.641138348948027792e-01
