# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.000000000000022697e-03 9.289113043478266718e+00 1.475516883116884870e+01
1.400000000000004539e-02 1.857822608695653344e+01 1.021511688311689525e+01
2.100000000000007069e-02 1.045025217391305006e+01 9.080103896103906891e+00
2.799999999999992772e-02 9.289113043478266718e+00 9.080103896103906891e+00
3.499999999999994782e-02 1.741708695652175010e+01 1.135012987012988361e+01
4.199999999999997485e-02 1.857822608695653344e+01 1.021511688311689525e+01
4.899999999999999495e-02 1.625594782608696676e+01 1.475516883116884870e+01
5.600000000000001504e-02 1.277253043478261674e+01 1.589018181818183706e+01
6.300000000000004208e-02 1.625594782608696676e+01 1.475516883116884870e+01
7.000000000000006217e-02 1.277253043478261674e+01 1.702519480519482542e+01
7.700000000000008227e-02 1.857822608695653344e+01 1.702519480519482542e+01
8.399999999999994971e-02 1.393366956521740008e+01 1.816020779220781378e+01
9.099999999999995592e-02 1.277253043478261674e+01 1.929522077922080214e+01
9.799999999999998990e-02 1.277253043478261674e+01 1.816020779220781378e+01
1.050000000000000100e-01 1.393366956521740008e+01 2.043023376623379050e+01
1.120000000000000301e-01 1.741708695652175010e+01 2.043023376623379050e+01
1.190000000000000641e-01 nan 1.816020779220781378e+01
1.260000000000000842e-01 nan 1.589018181818183706e+01
1.329999999999999516e-01 nan 1.816020779220781378e+01
1.399999999999999301e-01 nan 2.043023376623379050e+01
1.469999999999999918e-01 nan 3.178036363636367412e+01
1.539999999999999980e-01 nan nan
1.610000000000000320e-01 nan nan
1.680000000000000659e-01 nan nan
1.750000000000000999e-01 nan nan
1.820000000000001061e-01 nan nan
1.889999999999999736e-01 nan nan
1.959999999999999798e-01 nan 2.043023376623379050e+01
