# mu	p(mu)	err
-8.692070409550997283e+02 8.597376747404516129e-07 6.079263398505276720e-07
-7.315240992869353249e+02 1.719475349480903226e-06 8.597376747404516129e-07
-6.856297853975474936e+02 2.149344186851107909e-06 9.612159417686173042e-07
-6.397354715081592076e+02 2.149344186851129085e-06 9.612159417686268333e-07
-5.938411576187713763e+02 1.719475349480886073e-06 8.597376747404430367e-07
-5.479468437293830902e+02 1.289606512110677366e-06 7.445546669157940414e-07
-5.020525298399952590e+02 3.009081861591551158e-06 1.137326040058075030e-06
-4.561582159506069729e+02 5.158426048442657796e-06 1.489109333831573048e-06
-4.102639020612186869e+02 7.737639072664065045e-06 1.823779019551583440e-06
-3.643695881718308556e+02 1.031685209688531559e-05 2.105918615760975570e-06
-3.184752742824425695e+02 1.117658977162587192e-05 2.191909590036225045e-06
-2.725809603930547382e+02 2.665186791695373604e-05 3.384790610245427167e-06
-2.266866465036664522e+02 3.653885117646919360e-05 3.963194856939603054e-06
-1.807923326142786209e+02 7.221796467819721762e-05 5.571736938644928668e-06
-1.348980187248903349e+02 1.654995023875369489e-04 8.434635657613281245e-06
-8.900370483550250356e+01 5.093945722837125338e-04 1.479773133119738583e-05
-4.310939094611421751e+01 2.475614634415106066e-03 3.262191877668645042e-05
2.784922943274068530e+00 1.050083595927987605e-02 6.718617525377598601e-05
4.867923683266189983e+01 6.786339335563687687e-03 5.401144138216053866e-05
9.457355072205018587e+01 9.027245584774742666e-04 1.969906486151721812e-05
1.404678646114380172e+02 1.435761916816539975e-04 7.856139674944474530e-06
1.863621785008263032e+02 5.115439164705687239e-05 4.689315393924952755e-06
2.322564923902141345e+02 2.665186791695373604e-05 3.384790610245427167e-06
2.781508062796024205e+02 1.117658977162587192e-05 2.191909590036225045e-06
3.240451201689902518e+02 6.877901397923544293e-06 1.719475349480886073e-06
3.699394340583785379e+02 6.448032560553323728e-06 1.664874848188412700e-06
4.158337479477668239e+02 3.868819536332032523e-06 1.289606512110677578e-06
4.617280618371546552e+02 2.149344186851107909e-06 9.612159417686173042e-07
5.076223757265429413e+02 1.719475349480903226e-06 8.597376747404516129e-07
5.535166896159307726e+02 1.289606512110664449e-06 7.445546669157865240e-07
5.994110035053190586e+02 1.719475349480903226e-06 8.597376747404516129e-07
6.453053173947068899e+02 1.289606512110664449e-06 7.445546669157865240e-07
7.829882590628712933e+02 8.597376747404430367e-07 6.079263398505215310e-07
9.206712007310356967e+02 1.289606512110677366e-06 7.445546669157940414e-07
