# mu	p(mu)	err
-6.382948934058390478e+02 2.139624132800642751e-06 1.235312569037070837e-06
-5.553098422186440075e+02 1.426416088533761975e-06 1.008628488995813829e-06
-4.999864747605138291e+02 1.426416088533761975e-06 1.008628488995813829e-06
-4.723247910314489673e+02 4.279248265601215198e-06 1.746995788902147191e-06
-4.170014235733187888e+02 3.566040221334346280e-06 1.594781669080398736e-06
-3.893397398442534723e+02 5.705664354135047900e-06 2.017256977991627657e-06
-3.616780561151886104e+02 3.566040221334405149e-06 1.594781669080424994e-06
-3.340163723861237486e+02 4.992456309868084962e-06 1.886971118180881921e-06
-3.063546886570584320e+02 1.069812066400321502e-05 2.762242877826792246e-06
-2.786930049279935702e+02 1.497736892960425573e-05 3.268329849104344162e-06
-2.510313211989282536e+02 1.141132870827009580e-05 2.852832177067523950e-06
-2.233696374698633917e+02 1.569057697387112296e-05 3.345242250862169339e-06
-1.957079537407980752e+02 3.138115394774276091e-05 4.730886960592857858e-06
-1.680462700117332133e+02 4.279248265601215536e-05 5.524485755653493012e-06
-1.403845862826678967e+02 8.415854922349195186e-05 7.747422429429334402e-06
-1.127229025536030349e+02 1.654642662699163942e-04 1.086326128482701543e-05
-8.506121882453817307e+01 3.380606129824960328e-04 1.552763821799390786e-05
-5.739953509547285648e+01 8.351666198365176493e-04 2.440589173889338753e-05
-2.973785136640799465e+01 2.400658277002281748e-03 4.137836143075108715e-05
-2.076167637342678063e+00 7.548593940520668434e-03 7.337382313389138736e-05
2.558551609172218377e+01 1.352741697560970978e-02 9.822353386616188801e-05
5.324719982078750036e+01 8.223288750397137262e-03 7.658273752689039623e-05
8.090888354985236219e+01 2.120367515605402296e-03 3.888782803052813182e-05
1.085705672789176788e+02 4.799890137916109213e-04 1.850221678058885472e-05
1.362322510079825406e+02 1.369359444992411360e-04 9.882500552296566697e-06
1.638939347370474025e+02 5.491701940854893543e-05 6.258375189243361645e-06
1.915556184661127190e+02 2.567548959360771809e-05 4.279248265601286348e-06
2.192173021951775809e+02 1.355095284107051620e-05 3.108801790679566195e-06
2.468789859242428975e+02 7.132080442668810298e-06 2.255361865437538346e-06
2.745406696533077593e+02 8.558496531202430395e-06 2.470625138074101017e-06
3.022023533823730759e+02 2.139624132800642751e-06 1.235312569037070837e-06
3.298640371114379377e+02 3.566040221334405149e-06 1.594781669080424994e-06
3.575257208405027995e+02 1.426416088533738682e-06 1.008628488995797311e-06
3.851874045695681161e+02 1.426416088533761975e-06 1.008628488995813829e-06
4.405107720276982946e+02 2.139624132800642751e-06 1.235312569037070837e-06
4.681724557567631564e+02 2.852832177067477363e-06 1.426416088533738682e-06
