# r	g(r)	err
2.575757575757575690e+00 4.271220878290089118e+00 2.763285624602759838e-02
2.595959595959596022e+00 4.128265230575260958e+00 2.695507939454314453e-02
2.616161616161615910e+00 4.030442442954536908e+00 2.642813645218719878e-02
2.636363636363636687e+00 3.803382202602927808e+00 2.547618655250286773e-02
2.656565656565656575e+00 3.538368068546393186e+00 2.438572645660985055e-02
2.676767676767676907e+00 3.397427076361441145e+00 2.371478221484763643e-02
2.696969696969697239e+00 3.121365850950713838e+00 2.256061938747815424e-02
2.717171717171717127e+00 2.933432496170721659e+00 2.170829487183708120e-02
2.737373737373737459e+00 2.705416833439880708e+00 2.069368080235534438e-02
2.757575757575757791e+00 2.502460578740580921e+00 1.975654136510133357e-02
2.777777777777777679e+00 2.346911154764978580e+00 1.899352503386259744e-02
2.797979797979798011e+00 2.101039321380277158e+00 1.784133155004588925e-02
2.818181818181818343e+00 1.947073991813563110e+00 1.705206452473331108e-02
2.838383838383838231e+00 1.788724780635897682e+00 1.622764075122119093e-02
2.858585858585858563e+00 1.627674524731271166e+00 1.537047505252824714e-02
2.878787878787878896e+00 1.464083341569646146e+00 1.447531363714171272e-02
2.898989898989898784e+00 1.341289484208176841e+00 1.375844353717372084e-02
2.919191919191919560e+00 1.222299496299857013e+00 1.304310277588087257e-02
2.939393939393939448e+00 1.113855646907215169e+00 1.236549224018246122e-02
2.959595959595959780e+00 9.784589318778487144e-01 1.151048500570849009e-02
2.979797979797980112e+00 8.995161510678232331e-01 1.096156111607990598e-02
3.000000000000000000e+00 7.991460911242919130e-01 1.026234435057578331e-02
3.020202020202020332e+00 7.320586957127914740e-01 9.756447373842779339e-03
3.040404040404040664e+00 6.430695661230322324e-01 9.083483371831192407e-03
3.060606060606060552e+00 5.900387648607450242e-01 8.643459211027867961e-03
3.080808080808080884e+00 5.300915373975816358e-01 8.138896747647466137e-03
3.101010101010101216e+00 4.802850647663704509e-01 7.696638842402186639e-03
3.121212121212121104e+00 4.188141721678723117e-01 7.140722367712530952e-03
3.141414141414141437e+00 4.033490697307282047e-01 6.962578161296179187e-03
3.161616161616161769e+00 3.853960250107784646e-01 6.762374537733046274e-03
3.181818181818181657e+00 3.456056183082958366e-01 6.363115200353464639e-03
3.202020202020201989e+00 3.246003829054015521e-01 6.127808637390997834e-03
3.222222222222222321e+00 2.919842118273258125e-01 5.775358451314317049e-03
3.242424242424242653e+00 2.784293260008863236e-01 5.604571298480549336e-03
3.262626262626262985e+00 2.756604978520815208e-01 5.542104220420162111e-03
3.282828282828282873e+00 2.718379690455999254e-01 5.469676489217159543e-03
3.303030303030303205e+00 2.646092087340810584e-01 5.363455320719349995e-03
3.323232323232323537e+00 2.523805903621704760e-01 5.206214060857598282e-03
3.343434343434343425e+00 2.487032756312849979e-01 5.136918809860655834e-03
3.363636363636363757e+00 2.415315638319034675e-01 5.031907579831322239e-03
3.383838383838384090e+00 2.394848811021839941e-01 4.980628924088481915e-03
3.404040404040403978e+00 2.438157972786439143e-01 4.995638021857942701e-03
3.424242424242424310e+00 2.310343677997434286e-01 4.834243688758986697e-03
3.444444444444444642e+00 2.487261820959482117e-01 4.986505651188567929e-03
3.464646464646464530e+00 2.606552259612168188e-01 5.074918136714042308e-03
3.484848484848484862e+00 2.523679527791538590e-01 4.964642149030876195e-03
3.505050505050505194e+00 2.784301055333343600e-01 5.184639496483476294e-03
3.525252525252525526e+00 2.762024702349247796e-01 5.134265170432474393e-03
3.545454545454545414e+00 2.953316488925847305e-01 5.278831765111404242e-03
3.565656565656565746e+00 3.046818999762329616e-01 5.331366821949114383e-03
3.585858585858586078e+00 3.368634935217766913e-01 5.574277227783350219e-03
3.606060606060606410e+00 3.389371385462037756e-01 5.560083400288308962e-03
3.626262626262626299e+00 3.555556697169138247e-01 5.663035685746858026e-03
3.646464646464646631e+00 3.919453661743421136e-01 5.912831569187100567e-03
3.666666666666666963e+00 4.282194678684967393e-01 6.146339162229216835e-03
3.686868686868686851e+00 4.420377321064759557e-01 6.210502620260032261e-03
3.707070707070707183e+00 4.748630122462325076e-01 6.401887677125247568e-03
3.727272727272727515e+00 5.257349362243104451e-01 6.699571023175504569e-03
3.747474747474747403e+00 5.629857153552776383e-01 6.895483458273712375e-03
3.767676767676767735e+00 6.234727356691466271e-01 7.217550716411958063e-03
3.787878787878788067e+00 6.634626903925100461e-01 7.405713858242863462e-03
3.808080808080808399e+00 7.261265655123175788e-01 7.706456928419347895e-03
3.828282828282828287e+00 8.028106732858253380e-01 8.060413127905048311e-03
3.848484848484848619e+00 8.522228781541331122e-01 8.261170042362788596e-03
3.868686868686868952e+00 9.154603051934797620e-01 8.517476180387052037e-03
3.888888888888889284e+00 1.020475261912399567e+00 8.946032134131358393e-03
3.909090909090909172e+00 1.082294196326245572e+00 9.165404625745341219e-03
3.929292929292929504e+00 1.164301024180307564e+00 9.457426639417575859e-03
3.949494949494949836e+00 1.232563735007242922e+00 9.680947794868605474e-03
3.969696969696969724e+00 1.344539281306743606e+00 1.005967939435890857e-02
3.989898989898990056e+00 1.420960260528631780e+00 1.028925222281065234e-02
