# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.000000000000051320e-03 8.108171014492757678e+00 7.925400000000006884e+00
1.399999999999993958e-02 1.042479130434783130e+01 2.264400000000001967e+01
2.099999999999999090e-02 1.042479130434783130e+01 7.925400000000006884e+00
2.800000000000004222e-02 1.042479130434783130e+01 1.018980000000000885e+01
3.499999999999992700e-02 1.158310144927536811e+01 nan
4.199999999999998179e-02 1.158310144927536811e+01 2.151180000000001868e+01
4.900000000000002964e-02 1.274141159420290492e+01 1.358640000000001180e+01
5.600000000000008443e-02 1.158310144927536811e+01 3.056940000000002655e+01
6.299999999999997269e-02 1.274141159420290492e+01 3.056940000000002655e+01
7.000000000000002054e-02 1.389972173913044173e+01 2.377620000000002065e+01
7.700000000000006839e-02 1.505803188405797854e+01 2.377620000000002065e+01
8.399999999999996358e-02 1.737465217391305217e+01 2.264400000000001967e+01
9.099999999999999756e-02 1.621634202898551536e+01 2.151180000000001868e+01
9.800000000000005929e-02 1.621634202898551536e+01 2.037960000000001770e+01
1.049999999999999545e-01 2.548282318840580984e+01 1.811520000000001573e+01
1.120000000000000023e-01 nan 1.924740000000001672e+01
1.190000000000000502e-01 nan 1.698300000000001475e+01
1.259999999999999454e-01 nan 1.585080000000001377e+01
1.329999999999999793e-01 nan 1.698300000000001475e+01
1.400000000000000411e-01 nan 1.585080000000001377e+01
1.469999999999999363e-01 nan 1.585080000000001377e+01
1.539999999999999980e-01 nan 1.585080000000001377e+01
1.610000000000000320e-01 nan 1.585080000000001377e+01
1.680000000000000937e-01 nan 1.585080000000001377e+01
1.749999999999999611e-01 nan 1.585080000000001377e+01
1.819999999999999951e-01 nan 1.585080000000001377e+01
1.890000000000000013e-01 nan 1.585080000000001377e+01
1.959999999999999520e-01 nan 1.585080000000001377e+01
