# gamma	CrltnCoeff
0.000000000000000000e+00 -2.914436235824415314e-02
8.000000320962534495e-03 -6.964617112382505415e-02
1.600000064192506899e-02 -5.426681780169813341e-02
2.399999981659283951e-02 -7.552232772164713115e-02
3.200000013755537748e-02 -7.753507294646863612e-02
4.000000275110743297e-02 -9.125653000451988683e-02
4.799999963318567903e-02 -1.043907861382984970e-01
5.599999995414821352e-02 -1.369136159950833098e-01
6.400000027511075495e-02 -1.358266343658840192e-01
7.200000518125232452e-02 -1.399322156563504171e-01
8.000000550221487983e-02 -1.586881740506744798e-01
8.800000582317740738e-02 -1.578536096442229308e-01
9.600000041266612549e-02 -1.821247178303086744e-01
1.039999995873338995e-01 -1.791810274086525767e-01
1.119999999082964270e-01 -2.010947016725008474e-01
1.200000002292589546e-01 -2.121643543184137115e-01
1.280000005502215099e-01 -2.010503660093927170e-01
1.360000008711840236e-01 -2.158042755470088447e-01
1.440000115087994581e-01 -2.104618147735836942e-01
1.520000106834672182e-01 -2.381314305357269678e-01
1.600000110044297319e-01 -2.556906693705747191e-01
1.680000113253922733e-01 -2.176855316556891018e-01
1.760000116463548148e-01 -2.075236151649935967e-01
1.840000005043696818e-01 -2.273026361968871201e-01
1.920000008253322510e-01 -2.330653962717587624e-01
2.000000000000000111e-01 -2.224724691040975144e-01
