# s	p(s)	error
1.000000000000000000e+00 1.211378118910092949e+00 3.708493439290551363e-02
1.811609194200414219e+00 1.842460218708537323e-01 1.074544620764907900e-02
2.438354098268828540e+00 8.054983112759842023e-02 6.124090256696536859e-03
3.281927872511474220e+00 4.773812523655926454e-02 4.063739087380010585e-03
4.417344703140069662e+00 2.364513741840373537e-02 2.465175987048734418e-03
5.945570708544391181e+00 4.277300625683437552e-02 2.857891693132363561e-03
8.002502278161049531e+00 1.248452924495788326e-02 1.330855289193794491e-03
1.077105056036769071e+01 1.233227221626301447e-02 1.140118969710672515e-03
1.449740670372631612e+01 5.403486533734232905e-03 6.505033360010615846e-04
1.951293422635963282e+01 3.549135331619037489e-03 4.544202143201056380e-04
2.626363527653332852e+01 2.680107142313235130e-03 3.403739474478984992e-04
3.534981105030105653e+01 1.188310494576384985e-03 1.953570419126859751e-04
4.757944314009409226e+01 6.919806468541547925e-04 1.284975802295573938e-04
6.404004271197280218e+01 3.722913855156327265e-04 8.124064070025587177e-05
8.619535664753031767e+01 1.975707704403006893e-04 5.101255357417687367e-05
1.160155301739971492e+02 1.272162321394666761e-04 3.528343446539823592e-05
1.561523006000496423e+02 1.090581628050867660e-04 2.815869655413854352e-05
2.101748011332487067e+02 4.861577010014348654e-05 1.620525670004782998e-05
2.828869434625969461e+02 1.605322872125246176e-05 8.026614360626230880e-06
3.807546021222372019e+02 2.683568302467192988e-05 8.945227674890643857e-06
5.124805876960931528e+02 8.861308925039866719e-06 4.430654462519933359e-06
6.897785379387657940e+02 6.583633087848010648e-06 3.291816543924005324e-06
