# x	c(x)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.175344117647057374e+00+0.000000000000000000e+00j)  (7.321443479967004730e-01-1.628950912758167273e-18j)
 (2.350688235294114747e+00+0.000000000000000000e+00j)  (3.820771121003158077e-01+1.213426309427988041e-17j)
 (3.526032352941172121e+00+0.000000000000000000e+00j)  (2.905538506998002202e-01-6.378811522077014565e-19j)
 (4.701376470588229495e+00+0.000000000000000000e+00j)  (3.078010531260970684e-01-7.355194446294183513e-19j)
 (5.876720588235286868e+00+0.000000000000000000e+00j)  (3.069133637280769267e-01+2.526167216953278825e-18j)
 (7.052064705882344242e+00+0.000000000000000000e+00j)  (2.958952526615820089e-01-3.180330716321791296e-19j)
 (8.227408823529401616e+00+0.000000000000000000e+00j)  (2.830391957932731350e-01+5.181287905262651698e-18j)
 (9.402752941176458990e+00+0.000000000000000000e+00j)  (2.691216821374498025e-01+5.716043425444456753e-18j)
 (1.057809705882351636e+01+0.000000000000000000e+00j)  (2.619603771193926844e-01-3.140041678601749345e-18j)
 (1.175344117647057374e+01+0.000000000000000000e+00j)  (2.595165207260878848e-01+5.875814622324396769e-19j)
 (1.292878529411763111e+01+0.000000000000000000e+00j)  (2.544678410242647848e-01+4.468960724301934805e-18j)
 (1.410412941176468848e+01+0.000000000000000000e+00j)  (2.485272717306978019e-01+1.646381595181440536e-18j)
 (1.527947352941174586e+01+0.000000000000000000e+00j)  (2.450919273402628884e-01+9.117823801238076269e-18j)
 (1.645481764705880323e+01+0.000000000000000000e+00j)  (2.470043342579121559e-01+5.177556843361596478e-18j)
 (1.763016176470586061e+01+0.000000000000000000e+00j)  (2.533924799841785203e-01-2.287720038329014222e-18j)
 (1.880550588235291798e+01+0.000000000000000000e+00j)  (2.564915020511283061e-01+5.213659758359070061e-18j)
 (1.998084999999997535e+01+0.000000000000000000e+00j)  (2.514910764279051358e-01+3.130406525736754033e-18j)
 (2.115619411764703273e+01+0.000000000000000000e+00j)  (2.452671841497541805e-01+4.302940776752874727e-20j)
 (2.233153823529409010e+01+0.000000000000000000e+00j)  (2.423754737457363972e-01+5.634209511553038613e-18j)
 (2.350688235294114747e+01+0.000000000000000000e+00j)  (2.419351253652786138e-01-2.860946495348210072e-18j)
 (2.468222647058820485e+01+0.000000000000000000e+00j)  (2.430942514288960965e-01-3.289959947543154999e-18j)
 (2.585757058823526222e+01+0.000000000000000000e+00j)  (2.417666389970830887e-01-5.830199058203116025e-19j)
 (2.703291470588231959e+01+0.000000000000000000e+00j)  (2.365522389992719132e-01+4.036967247520005795e-18j)
 (2.820825882352937697e+01+0.000000000000000000e+00j)  (2.335943287777709487e-01+2.960772717564998081e-18j)
 (2.938360294117643434e+01+0.000000000000000000e+00j)  (2.357999947282818087e-01+4.537811723853321508e-18j)
 (3.055894705882349172e+01+0.000000000000000000e+00j)  (2.376900496438248411e-01-2.464489653098320181e-19j)
 (3.173429117647054909e+01+0.000000000000000000e+00j)  (2.351786714060165318e-01+2.975631125304262074e-18j)
 (3.290963529411760646e+01+0.000000000000000000e+00j)  (2.300722429311192474e-01+1.922052550103834066e-18j)
 (3.408497941176466384e+01+0.000000000000000000e+00j)  (2.254521590545695287e-01-8.184128817945375417e-19j)
 (3.526032352941172121e+01+0.000000000000000000e+00j)  (2.228504798577638779e-01+1.360182244777623413e-18j)
 (3.643566764705877858e+01+0.000000000000000000e+00j)  (2.231088355676385526e-01-4.538455727103627111e-18j)
 (3.761101176470583596e+01+0.000000000000000000e+00j)  (2.248931793648560606e-01-1.119961925466798921e-17j)
 (3.878635588235289333e+01+0.000000000000000000e+00j)  (2.226078353840378332e-01+4.462015911177572084e-18j)
 (3.996169999999995071e+01+0.000000000000000000e+00j)  (2.190405621718657381e-01-9.881361213528214456e-19j)
