# gamma	ratio
0.000000000000000000e+00 1.435165757448594315e-01
8.000000377542674374e-03 9.945469798657717853e-01
1.600000075508534875e-02 9.674027339642480780e-03
2.400000228367276528e-02 1.570680628272251231e-02
3.200000151017069749e-02 1.244725738396624398e-02
4.000000303875811403e-02 2.022097144048363646e-02
4.800000456734553056e-02 2.470992694456381616e-02
5.600000494488820840e-02 9.612637957152131429e-01
6.400000302034139499e-02 3.329706202393906134e-02
7.200000109579460239e-02 6.196440342781805999e-02
8.000000607751622805e-02 7.773062318516864300e-02
8.800000530401416721e-02 1.165532879818594048e-01
9.600000913469106112e-02 1.324041811846689842e-01
1.040000083611890003e-01 8.372987262677240583e-01
1.120000075876869394e-01 1.683002629691608965e-01
1.200000068141848647e-01 2.202940467582550077e-01
1.280000048896380582e-01 2.174234945705824373e-01
1.360000041161359974e-01 7.156218402426693936e-01
1.440000033426339365e-01 6.780487804878049252e-01
1.520000025691318757e-01 6.501420087787245228e-01
1.600000121550324561e-01 3.808907301916105714e-01
1.680000113815303953e-01 3.782742681047766009e-01
1.760000094569836027e-01 5.957829776292106194e-01
1.840000086834815418e-01 4.462017111744879250e-01
1.920000194204268817e-01 4.785788923719958010e-01
2.000000174958800614e-01 5.059351094697969176e-01
