# s	p(s)	error
1.000000000000000000e+00 1.235768531447078322e+00 3.919619770849834539e-02
1.811609194200414219e+00 1.791128476473023701e-01 1.108680693857352906e-02
2.438354098268828540e+00 7.902885165736631135e-02 6.347750119216490072e-03
3.281927872511474220e+00 4.318436783905222481e-02 4.044586620018113428e-03
4.417344703140069662e+00 1.941952253782448790e-02 2.337835787234322782e-03
5.945570708544391181e+00 4.182030488859459633e-02 2.957142117801416035e-03
8.002502278161049531e+00 1.056413284027892668e-02 1.281089280691950598e-03
1.077105056036769071e+01 1.269653949779108414e-02 1.210567542402282010e-03
1.449740670372631612e+01 5.745597879990356482e-03 7.019365004931870516e-04
1.951293422635963282e+01 4.396198133240563147e-03 5.292400626042312014e-04
2.626363527653332852e+01 2.272150771056648342e-03 3.279567148272429324e-04
3.534981105030105653e+01 1.336433173255170996e-03 2.167980886117484526e-04
4.757944314009409226e+01 1.045180705608114409e-03 1.652575798091781884e-04
6.404004271197280218e+01 4.076790828055058174e-04 8.896286934316191737e-05
8.619535664753031767e+01 2.019272413354573892e-04 5.396732529526418188e-05
1.160155301739971492e+02 1.500246609885575204e-04 4.009577721329232898e-05
1.561523006000496423e+02 1.035012780651687882e-04 2.870608962615556667e-05
2.101748011332487067e+02 4.140646378612937710e-05 1.565017226410003954e-05
2.828869434625969461e+02 2.636872278987662492e-05 1.076498600068263686e-05
3.807546021222372019e+02 6.530336820149557347e-06 4.617645448959947691e-06
5.124805876960931528e+02 9.703609687376988773e-06 4.851804843688494387e-06
6.897785379387657940e+02 5.407074142471301712e-06 3.121775711684071006e-06
9.284145445194744752e+02 2.678174111293324376e-06 1.893755075293764963e-06
1.681924324880868880e+03 1.478339875877802066e-06 1.045344151131672686e-06
2.263803409521446611e+03 1.098353234747469429e-06 7.766530204281154980e-07
