# s	p(s)	error
1.000000000000000000e+00 1.267475161395143379e+00 3.869364085050766566e-02
1.811609194200414219e+00 1.812675292082319700e-01 1.087170394030639170e-02
2.438354098268828540e+00 7.508871275168642334e-02 6.031270546456207575e-03
3.281927872511474220e+00 3.995155446362321644e-02 3.792033736188942048e-03
4.417344703140069662e+00 2.620622833190188253e-02 2.647228823258692288e-03
5.945570708544391181e+00 3.417233331620142534e-02 2.605615987824976259e-03
8.002502278161049531e+00 1.077548406401801148e-02 1.261175016446291390e-03
1.077105056036769071e+01 1.118618100791750856e-02 1.107596964028186026e-03
1.449740670372631612e+01 5.866538283919912021e-03 6.913781671083769204e-04
1.951293422635963282e+01 3.995407588977715856e-03 4.918006771974079870e-04
2.626363527653332852e+01 2.293797487382867335e-03 3.211958938375719143e-04
3.534981105030105653e+01 1.436881966061404363e-03 2.191224455610663480e-04
4.757944314009409226e+01 9.185908275432983720e-04 1.510154017961083510e-04
6.404004271197280218e+01 5.902528608544891330e-04 1.043429501312422226e-04
8.619535664753031767e+01 2.603811047344804872e-04 5.973552222868843770e-05
1.160155301739971492e+02 1.629084414961275997e-04 4.072711037403189992e-05
1.561523006000496423e+02 1.134704055994078024e-04 2.929793274492714753e-05
2.101748011332487067e+02 4.496235778048960258e-05 1.589659404235996165e-05
2.828869434625969461e+02 3.340541097205457428e-05 1.181059631333164359e-05
3.807546021222372019e+02 1.240950805627112333e-05 6.204754028135561665e-06
5.124805876960931528e+02 1.152477141558617765e-05 5.154034462079433885e-06
6.897785379387657940e+02 6.849991762019220907e-06 3.424995881009610453e-06
9.284145445194744752e+02 3.816972706634846040e-06 2.203730219665082860e-06
