# mu	p(mu)	err
-1.097961873857841510e+03 6.004867125974991419e-07 4.246082264901090512e-07
-8.351279434523346481e+02 6.004867125974991419e-07 4.246082264901090512e-07
-7.694194608509578757e+02 9.007300688962486598e-07 5.200367477444393591e-07
-6.380024956482043308e+02 6.004867125975002006e-07 4.246082264901097924e-07
-5.722940130468276720e+02 1.200973425194998284e-06 6.004867125974991419e-07
-5.065855304454508996e+02 2.101703494091250755e-06 7.943692535658510717e-07
-4.408770478440742409e+02 3.602920275584994639e-06 1.040073495488878718e-06
-3.751685652426974684e+02 6.305110482273741254e-06 1.375887907146616214e-06
-3.094600826413206960e+02 1.140924753935250434e-05 1.850824349866419042e-06
-2.437516000399440372e+02 2.461995521649746577e-05 2.718819226452193820e-06
-1.780431174385672648e+02 7.536108243098627079e-05 4.756749344183071749e-06
-1.123346348371906060e+02 3.440788863183670012e-04 1.016402477662084518e-05
-4.662615223581383361e+01 3.456101274354906033e-03 3.221290806991356387e-05
1.908233036556293882e+01 1.016593980091936265e-02 5.524722514080749464e-05
8.479081296693971126e+01 1.012420597439387011e-03 1.743480880770385198e-05
1.504992955683162563e+02 7.656205585618113376e-05 4.794501915255864794e-06
2.162077781696930288e+02 1.891533144682122292e-05 2.383107760697548874e-06
2.819162607710698012e+02 7.506083907468738903e-06 1.501216781493747696e-06
3.476247433724465736e+02 3.302676919286245439e-06 9.957945586399418774e-07
4.133332259738233461e+02 2.401946850389996567e-06 8.492164529802181025e-07
4.790417085752001185e+02 9.007300688962518362e-07 5.200367477444411591e-07
5.447501911765766636e+02 9.007300688962486598e-07 5.200367477444393591e-07
6.104586737779534360e+02 6.004867125974991419e-07 4.246082264901090512e-07
6.761671563793302084e+02 6.004867125974991419e-07 4.246082264901090512e-07
