# mu	p(mu)	err
-5.469168774367520882e+02 1.121078433704214045e-06 7.927221627142430377e-07
-4.765256014638505917e+02 1.681617650556320855e-06 9.708824032227178943e-07
-4.061343254909491520e+02 2.242156867408428089e-06 1.121078433704214045e-06
-3.709386875044984322e+02 3.363235301112641710e-06 1.373035062106951620e-06
-3.357430495180477124e+02 6.165931385373175974e-06 1.859098262578099099e-06
-3.005474115315969925e+02 1.345294120445054482e-05 2.746070124213899005e-06
-2.653517735451462158e+02 2.130049024038006600e-05 3.455395797576392247e-06
-2.301561355586954960e+02 3.811666674594327243e-05 4.622324796764479781e-06
-1.949604975722447762e+02 6.950686288966126229e-05 6.241900551115622005e-06
-1.597648595857940563e+02 1.479823532489562437e-04 9.107684250022162931e-06
-1.245692215993433365e+02 2.791485299923492742e-04 1.250894473516165027e-05
-8.937358361289261666e+01 7.130058838358800883e-04 1.999169226794741944e-05
-5.417794562644189682e+01 2.079600494521316716e-03 3.414231439964538942e-05
-1.898230763999117698e+01 5.636221825447935117e-03 5.620785859683090661e-05
1.621333034645954285e+01 9.440601490223186551e-03 7.274494735679269729e-05
5.140896833291026269e+01 6.625573543191904703e-03 6.094172466460750067e-05
8.660460631936098252e+01 2.354264710778849416e-03 3.632709315707119516e-05
1.218002443058117024e+02 6.687232857045614367e-04 1.936093042339653205e-05
1.569958822922625359e+02 1.928254905971247852e-04 1.039645369770075160e-05
1.921915202787132557e+02 7.062794132336547379e-05 6.292037103933497732e-06
2.273871582651639756e+02 2.466372554149270390e-05 3.718196525156198199e-06
2.625827962516146954e+02 1.065024512019003300e-05 2.443333800149765347e-06
2.977784342380654152e+02 7.847549035929497465e-06 2.097345701311166334e-06
3.329740722245161351e+02 1.681617650556320855e-06 9.708824032227178943e-07
