# s	p(s)	error
1.000000000000000000e+00 1.222277806802950284e+00 3.918442751547283887e-02
1.811609194200414219e+00 1.698864159362573067e-01 1.085364498535071158e-02
2.438354098268828540e+00 8.242904996856981192e-02 6.516588581612783350e-03
3.281927872511474220e+00 4.018993953318780732e-02 3.922136492223511628e-03
4.417344703140069662e+00 2.559400821973920742e-02 2.697845347581572396e-03
5.945570708544391181e+00 3.211494078146311798e-02 2.604865666549614593e-03
8.002502278161049531e+00 1.224407221019367144e-02 1.386368176801035419e-03
1.077105056036769071e+01 1.341210243855197812e-02 1.250685001256135681e-03
1.449740670372631612e+01 8.058416532726942957e-03 8.356188680454881314e-04
1.951293422635963282e+01 4.377674009821394367e-03 5.308709510886709454e-04
2.626363527653332852e+01 2.295849866452284900e-03 3.313773846037982944e-04
3.534981105030105653e+01 1.243764146865659675e-03 2.102345121204591649e-04
4.757944314009409226e+01 8.448657594224654333e-04 1.493525769199868835e-04
6.404004271197280218e+01 4.707786018614520452e-04 9.609727969845271078e-05
8.619535664753031767e+01 2.623286474790120153e-04 6.183145517730156949e-05
1.160155301739971492e+02 1.407616371260678764e-04 3.904025386740717725e-05
1.561523006000496423e+02 7.240210756238615148e-05 2.413403585412871716e-05
2.101748011332487067e+02 7.172287450381880833e-05 2.070461045091676869e-05
2.828869434625969461e+02 2.664375510059241732e-05 1.087726747135468518e-05
3.807546021222372019e+02 2.639379940347278593e-05 9.331617269736529463e-06
5.124805876960931528e+02 9.804820740178835737e-06 4.902410370089417869e-06
6.897785379387657940e+02 5.463471265208942410e-06 3.154336605678168175e-06
9.284145445194744752e+02 4.059162196060612524e-06 2.343558386579947284e-06
1.249609141291986816e+03 2.010540787972520771e-06 1.421667025027513965e-06
1.681924324880868880e+03 1.493759326995171645e-06 1.056247349578939254e-06
2.263803409521446611e+03 1.109809331068173253e-06 7.847537038224113623e-07
