# mu	p(mu)	err
-2.569093402232492281e+03 9.410038084245584483e-07 6.653901740593720866e-07
-2.191715932360004899e+03 9.410038084245584483e-07 6.653901740593720866e-07
-1.688545972530021572e+03 9.410038084245584483e-07 6.653901740593720866e-07
-1.353099332643365869e+03 1.411505712636845031e-06 8.149332031535771095e-07
-1.227306842685870151e+03 9.410038084245634246e-07 6.653901740593755806e-07
-9.757218627708784879e+02 9.410038084245634246e-07 6.653901740593755806e-07
-9.337910327850465819e+02 9.410038084245634246e-07 6.653901740593755806e-07
-8.918602027992146759e+02 1.411505712636845031e-06 8.149332031535771095e-07
-8.499293728133827699e+02 2.823011425273674816e-06 1.152489588327931247e-06
-8.079985428275506365e+02 1.882007616849126849e-06 9.410038084245634246e-07
-7.660677128417187305e+02 1.411505712636845031e-06 8.149332031535771095e-07
-6.822060528700549185e+02 2.823011425273690062e-06 1.152489588327937388e-06
-6.402752228842230124e+02 1.411505712636845031e-06 8.149332031535771095e-07
-5.983443928983911064e+02 3.764015233698233793e-06 1.330780348118744173e-06
-5.564135629125589730e+02 3.293513329485990092e-06 1.244831029928037604e-06
-5.144827329267272944e+02 6.116524754759628908e-06 1.696418740840818877e-06
-4.725519029408951610e+02 4.234517137910558387e-06 1.411505712636852866e-06
-4.306210729550634824e+02 6.587026658971908185e-06 1.760456925387079702e-06
-3.886902429692313490e+02 1.317405331794381637e-05 2.489662059856047679e-06
-3.467594129833992156e+02 1.223304950951939165e-05 2.399098390761000994e-06
-3.048285829975675369e+02 1.976107997691572456e-05 3.049200839306914064e-06
-2.628977530117354036e+02 2.728911044431248776e-05 3.583235748357671022e-06
-2.209669230259037249e+02 4.705019042122791754e-05 4.705019042122791924e-06
-1.790360930400715915e+02 8.986586370454531058e-05 6.502465685927893184e-06
-1.371052630542394581e+02 1.900827693017628371e-04 9.456971233667984142e-06
-9.517443306840777950e+01 4.592098585111844796e-04 1.469894937954966982e-05
-5.324360308257564611e+01 1.674516277091519676e-03 2.806889910570104716e-05
-1.131277309674396747e+01 7.451809158914077420e-03 5.921224872520529619e-05
3.061805688908816592e+01 1.049924999249712311e-02 7.028454392162411057e-05
7.254888687491984456e+01 2.639515682630886543e-03 3.524056121681387425e-05
1.144797168607519779e+02 4.432127937679669486e-04 1.444065315140117308e-05
1.564105468465841113e+02 1.129204570109482327e-04 7.288984157492217652e-06
1.983413768324157900e+02 4.328617518752968333e-05 4.512895727999820627e-06
2.402722068182479234e+02 2.352509521061421288e-05 3.326950870296896009e-06
2.822030368040796020e+02 1.176254760530697939e-05 2.352509521061395962e-06
3.241338667899117354e+02 1.270355141373167685e-05 2.444799609460744881e-06
3.660646967757434140e+02 6.587026658971908185e-06 1.760456925387079702e-06
4.079955267615755474e+02 4.705019042122791924e-06 1.487857660757173040e-06
4.499263567474076808e+02 3.293513329485990092e-06 1.244831029928037604e-06
4.918571867332393595e+02 2.823011425273674816e-06 1.152489588327931247e-06
5.337880167190714928e+02 1.882007616849137014e-06 9.410038084245685068e-07
5.757188467049031715e+02 2.352509521061395962e-06 1.052074241361750939e-06
6.176496766907353049e+02 1.411505712636837408e-06 8.149332031535726626e-07
7.853729966340629289e+02 9.410038084245584483e-07 6.653901740593720866e-07
8.273038266198950623e+02 9.410038084245685068e-07 6.653901740593791805e-07
1.036957976549054820e+03 9.410038084245685068e-07 6.653901740593791805e-07
1.120819636520718632e+03 9.410038084245685068e-07 6.653901740593791805e-07
