# gamma	percentage
0.000000000000000000e+00 9.378945707070707627e+00
8.000000377542674374e-03 9.382891414141413478e+00
1.600000075508534875e-02 9.373027146464647075e+00
2.400000228367276528e-02 9.404592803030302761e+00
3.200000151017069749e-02 9.319760101010100328e+00
4.000000303875811403e-02 9.424321338383839120e+00
4.800000456734553056e-02 9.171796085858586522e+00
5.600000494488820840e-02 9.092881944444444642e+00
6.400000302034139499e-02 9.073153409090908283e+00
7.200000109579460239e-02 8.950836489898989612e+00
8.000000607751622805e-02 8.735795454545455030e+00
8.800000530401416721e-02 8.680555555555555358e+00
9.600000913469106112e-02 8.418166035353534582e+00
1.040000083611890003e-01 8.199179292929292373e+00
1.120000075876869394e-01 8.220880681818181657e+00
1.200000068141848647e-01 8.165640782828281985e+00
1.280000048896380582e-01 7.984138257575757791e+00
1.360000041161359974e-01 7.788825757575757791e+00
1.440000033426339365e-01 7.678345959595959336e+00
1.520000025691318757e-01 7.605350378787878896e+00
1.600000121550324561e-01 7.575757575757576134e+00
1.680000113815303953e-01 7.680318813131313149e+00
1.760000094569836027e-01 7.676373106060606410e+00
1.840000086834815418e-01 7.554056186868686851e+00
1.920000194204268817e-01 7.488952020202019888e+00
2.000000174958800614e-01 7.451467803030302761e+00
