# gamma	percentage
0.000000000000000000e+00 1.189433396464646542e+01
7.999999926925625490e-03 1.191603535353535293e+01
1.599999985385125098e-02 1.188446969696969724e+01
2.400000092256399098e-02 1.166548295454545503e+01
3.199999970770249502e-02 1.178188131313131315e+01
3.999999849284100600e-02 1.165956439393939448e+01
4.800000070334085878e-02 1.158656881313131315e+01
5.599999948847936976e-02 1.156684027777777857e+01
6.399999941540499004e-02 1.153724747474747403e+01
7.199999820054349409e-02 1.138731060606060552e+01
7.999999698568201201e-02 1.122750946969696884e+01
8.799999691260763923e-02 1.094341856060606055e+01
9.600000140668171755e-02 1.102627840909090828e+01
1.040000001918202216e-01 1.083885732323232354e+01
1.120000001187458488e-01 1.065538194444444464e+01
1.199999989038843667e-01 1.070273042929292906e+01
1.279999988308099801e-01 1.044823232323232354e+01
1.359999987577356073e-01 1.055279356060606055e+01
1.439999964010869882e-01 1.046993371212121282e+01
1.519999963280126154e-01 1.047585227272727337e+01
1.599999951131511611e-01 1.031999684343434431e+01
1.679999950400767328e-01 1.039891098484848442e+01
1.759999938252152785e-01 1.048966224747474740e+01
1.839999926103537964e-01 1.047585227272727337e+01
1.920000028133634351e-01 1.040680239898989967e+01
1.999999913224179415e-01 1.022924558080808133e+01
