# gamma	CrltnCoeff
6.999999999999960247e-03 -6.912595914122386664e-02
1.399999999999992049e-02 -7.653225940272433137e-02
2.100000000000004294e-02 -6.522977202874417901e-02
2.800000000000000405e-02 -8.630314837555477792e-02
3.499999999999996170e-02 -6.874589763474069082e-02
4.199999999999991934e-02 -7.735391030745522589e-02
4.900000000000004352e-02 -1.023378276574048590e-01
5.600000000000000810e-02 -1.381982933500852384e-01
6.299999999999997269e-02 -1.557925988579053067e-01
6.999999999999992339e-02 -1.709354182939653577e-01
7.700000000000005451e-02 -1.996985404552815424e-01
8.400000000000000522e-02 -2.131602274367843941e-01
9.099999999999996980e-02 -2.373379400535269024e-01
9.799999999999993439e-02 -2.867405164157176278e-01
1.050000000000000516e-01 -3.032325067835828780e-01
1.120000000000000162e-01 -3.166091760310552061e-01
1.189999999999999669e-01 -3.393149927826072942e-01
1.259999999999999454e-01 -3.504424873040108412e-01
1.330000000000000626e-01 -3.381103005101423475e-01
1.400000000000000133e-01 -3.532147352946360397e-01
1.469999999999999640e-01 -3.523881135387734731e-01
1.539999999999999425e-01 -3.686905642980509157e-01
1.610000000000000320e-01 -3.860640744927673618e-01
1.680000000000000104e-01 -3.880048277139611090e-01
1.749999999999999889e-01 -3.647614156096730675e-01
1.820000000000000229e-01 -3.691436466454007803e-01
1.889999999999999736e-01 -3.395202377418109485e-01
1.960000000000000353e-01 -3.671544109906434983e-01
