# gamma	xc	yc
0.000000000000000000e+00 nan nan
6.999999999999960247e-03 1.265559938519132288e+01 1.012974248234807817e+01
1.399999999999992049e-02 1.265559938519132288e+01 9.004215539864958373e+00
2.100000000000004294e-02 1.150509035017392989e+01 9.004215539864958373e+00
2.800000000000000405e-02 1.265559938519132288e+01 9.004215539864958373e+00
3.499999999999996170e-02 1.150509035017392989e+01 1.012974248234807817e+01
4.199999999999991934e-02 1.150509035017392989e+01 1.012974248234807817e+01
4.900000000000004352e-02 1.150509035017392989e+01 nan
5.600000000000000810e-02 9.204072280139143913e+00 nan
6.299999999999997269e-02 9.204072280139143913e+00 1.688290413724679695e+01
6.999999999999992339e-02 9.204072280139143913e+00 1.913395802221303654e+01
7.700000000000005451e-02 9.204072280139143913e+00 2.476159273462863553e+01
8.400000000000000522e-02 1.150509035017392989e+01 2.025948496469615634e+01
9.099999999999996980e-02 1.265559938519132288e+01 2.025948496469615634e+01
9.799999999999993439e-02 nan 1.800843107972991675e+01
1.050000000000000516e-01 nan 1.688290413724679695e+01
1.120000000000000162e-01 nan 1.688290413724679695e+01
1.189999999999999669e-01 nan 1.688290413724679695e+01
1.259999999999999454e-01 nan 1.688290413724679695e+01
1.330000000000000626e-01 nan 1.688290413724679695e+01
1.400000000000000133e-01 nan 1.688290413724679695e+01
1.469999999999999640e-01 nan 1.688290413724679695e+01
1.539999999999999425e-01 nan 1.688290413724679695e+01
1.610000000000000320e-01 nan 1.688290413724679695e+01
1.680000000000000104e-01 nan 1.688290413724679695e+01
1.749999999999999889e-01 nan 1.688290413724679695e+01
1.820000000000000229e-01 nan 1.688290413724679695e+01
1.889999999999999736e-01 nan 1.688290413724679695e+01
1.960000000000000353e-01 nan 1.688290413724679695e+01
