# gamma	d2min
0.000000000000000000e+00 4.566163227395875879e+00
7.999999999999937716e-03 4.675800248645653134e+00
1.600000000000004197e-02 4.642940880470192155e+00
2.399999999999997968e-02 4.587288121818984266e+00
3.200000000000008393e-02 4.683770342626494276e+00
4.000000000000002165e-02 4.648567087630357975e+00
4.799999999999995937e-02 4.544488172851404606e+00
5.600000000000006362e-02 4.521916188835659156e+00
6.400000000000000133e-02 4.533461325113897544e+00
7.199999999999993905e-02 4.575494626609457605e+00
8.000000000000004330e-02 4.513258139086256726e+00
8.799999999999998102e-02 4.604851275023010615e+00
9.599999999999991873e-02 4.469872659376330937e+00
1.040000000000000230e-01 4.516048724026087591e+00
1.119999999999999607e-01 4.559994126399531389e+00
1.200000000000000649e-01 4.490734501921629374e+00
1.280000000000000027e-01 4.542978666035485169e+00
1.360000000000000930e-01 4.488896891928639832e+00
1.440000000000000446e-01 4.636236638316068692e+00
1.519999999999999962e-01 4.594936542931196577e+00
1.600000000000000866e-01 4.704214595046099845e+00
1.680000000000000104e-01 4.559419905188090816e+00
1.759999999999999620e-01 4.520119118202137187e+00
1.840000000000000802e-01 4.552733876351374498e+00
1.920000000000000040e-01 4.519523039099563988e+00
2.000000000000000111e-01 4.593860913425709569e+00
