# gamma	CrltnCoeff
7.000000000000057392e-03 -1.100898306878683036e-01
1.399999999999995345e-02 -1.104102701388762209e-01
2.100000000000001171e-02 -1.044141340686366159e-01
2.800000000000006650e-02 -1.091452013729498211e-01
3.499999999999996170e-02 -1.174475597935037696e-01
4.200000000000002343e-02 -1.210794881624948777e-01
4.900000000000007822e-02 -1.086845836759467859e-01
5.599999999999997341e-02 -1.254218627124522589e-01
6.300000000000002820e-02 -1.398876652844261159e-01
7.000000000000007605e-02 -1.372810322797136662e-01
7.699999999999998512e-02 -1.651983081248563079e-01
8.400000000000004685e-02 -1.607046589226096556e-01
9.099999999999994205e-02 -1.908028536925303609e-01
9.799999999999998990e-02 -2.212101000654416449e-01
1.050000000000000516e-01 -2.139959666646272241e-01
1.120000000000001134e-01 -2.182574548428737882e-01
1.190000000000000085e-01 -2.093798409384054759e-01
1.260000000000000564e-01 -2.760631450086471483e-01
1.329999999999999516e-01 -2.620072021300835496e-01
1.400000000000000133e-01 -2.649768159139807566e-01
1.470000000000000751e-01 -2.602777760377463223e-01
1.539999999999999702e-01 -2.822052174575785388e-01
1.610000000000000320e-01 -2.801635273400548964e-01
1.680000000000000937e-01 -3.021174388484388351e-01
1.749999999999999889e-01 -2.796057120230598381e-01
1.820000000000000229e-01 -2.992604026882918489e-01
1.890000000000000013e-01 -2.874635845940277101e-01
1.959999999999999798e-01 -3.019757580140603470e-01
