# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.000000000000057392e-03 8.143140766417374721e+00 1.251514474577146530e+01
1.399999999999995345e-02 9.306446590191285395e+00 1.137740431433769572e+01
2.100000000000001171e-02 8.143140766417374721e+00 1.137740431433769572e+01
2.800000000000006650e-02 9.306446590191285395e+00 1.137740431433769572e+01
3.499999999999996170e-02 1.046975241396519607e+01 1.023966388290392615e+01
4.200000000000002343e-02 1.046975241396519607e+01 1.365288517720523487e+01
4.900000000000007822e-02 1.744958735660866012e+01 1.365288517720523487e+01
5.599999999999997341e-02 1.046975241396519607e+01 1.365288517720523487e+01
6.300000000000002820e-02 1.046975241396519607e+01 1.479062560863900444e+01
7.000000000000007605e-02 nan 1.479062560863900444e+01
7.699999999999998512e-02 nan 1.365288517720523487e+01
8.400000000000004685e-02 nan 1.251514474577146530e+01
9.099999999999994205e-02 nan 1.251514474577146530e+01
9.799999999999998990e-02 nan 1.251514474577146530e+01
1.050000000000000516e-01 nan 1.251514474577146530e+01
1.120000000000001134e-01 nan 1.251514474577146530e+01
1.190000000000000085e-01 nan 1.251514474577146530e+01
1.260000000000000564e-01 nan 1.251514474577146530e+01
1.329999999999999516e-01 nan 1.137740431433769572e+01
1.400000000000000133e-01 nan 1.137740431433769572e+01
1.470000000000000751e-01 nan 1.137740431433769572e+01
1.539999999999999702e-01 nan 1.137740431433769572e+01
1.610000000000000320e-01 nan 1.137740431433769572e+01
1.680000000000000937e-01 nan 1.137740431433769572e+01
1.749999999999999889e-01 nan 1.137740431433769572e+01
1.820000000000000229e-01 nan 1.023966388290392615e+01
1.890000000000000013e-01 nan 1.023966388290392615e+01
1.959999999999999798e-01 nan 1.023966388290392615e+01
