# gamma	ratio
0.000000000000000000e+00 1.570300832088756260e-01
7.999999852663908922e-03 6.979695431472081324e-03
1.599999970532781784e-02 8.853288364249579240e-03
2.400000070905494373e-02 1.382096534127152943e-02
3.199999941065563569e-02 9.818026118604152863e-01
4.000000041438275811e-02 2.007772020725388448e-02
4.800000141810988746e-02 2.127659574468085055e-02
5.599999666652092506e-02 9.655932951036612089e-01
6.399999767024804054e-02 4.619504574871680092e-02
7.199999867397517683e-02 6.087151841868822938e-02
8.000000082876551621e-02 7.845328565042467006e-02
8.799999607717656769e-02 1.002747252747252793e-01
9.600000283621977493e-02 1.328088847755668767e-01
1.039999980846308125e-01 1.727871939736346507e-01
1.119999933330418501e-01 2.129912920687220546e-01
1.200000000920850574e-01 2.252056119980648252e-01
1.279999953404961088e-01 7.587793654637926544e-01
1.360000020995393299e-01 2.883913360915064672e-01
1.439999984990135706e-01 6.517078035402642522e-01
1.519999937474246221e-01 6.408183884819398379e-01
1.600000016575310602e-01 3.597870182555780727e-01
1.679999957548788669e-01 3.818554587391081445e-01
1.759999910032898907e-01 3.946428571428571286e-01
1.839999989133963010e-01 5.788918205804749473e-01
1.920000045213763051e-01 5.762578616352200811e-01
1.999999997697873566e-01 5.830238726790450965e-01
