# mu	p(mu)	err
-6.111011050658910335e+02 9.366585917537948379e-07 6.623176418857503302e-07
-5.689757553873155302e+02 1.873317183507589676e-06 9.366585917537948379e-07
-4.847250560301644668e+02 1.404987887630690457e-06 8.111701351317428893e-07
-4.425997063515889067e+02 3.746634367015179352e-06 1.324635283771500660e-06
-4.004743566730134035e+02 3.746634367015179352e-06 1.324635283771500660e-06
-3.583490069944379002e+02 7.493268734030349386e-06 1.873317183507587346e-06
-3.162236573158623401e+02 1.170823239692243600e-05 2.341646479384487201e-06
-2.740983076372868368e+02 2.809975775261384641e-05 3.627663126944539017e-06
-2.319729579587113335e+02 3.887133155778243061e-05 4.266682943253886071e-06
-1.898476082801357734e+02 8.383094396196464043e-05 6.265818937569338048e-06
-1.477222586015602701e+02 2.004449386353121152e-04 9.688871811163755207e-06
-1.055969089229847668e+02 5.217188356068637673e-04 1.563125762456358880e-05
-6.347155924440926356e+01 1.587636313022677999e-03 2.726786747412606880e-05
-2.134620956583364659e+01 4.620068503825592969e-03 4.651573313729099251e-05
2.077914011274185668e+01 7.882450378904060084e-03 6.075839395290761881e-05
6.290448979131735996e+01 5.678492712507380615e-03 5.156941432371201758e-05
1.050298394698928632e+02 2.140264882157421125e-03 3.165989174414271024e-05
1.471551891484683665e+02 6.186629998533798528e-04 1.702169225154836655e-05
1.892805388270439835e+02 1.962299749724200396e-04 9.586461600026085301e-06
2.314058885056194868e+02 6.556610142276564162e-05 5.541346958341182411e-06
2.735312381841949900e+02 2.622644056910625461e-05 3.504655538720863953e-06
3.156565878627704933e+02 8.429927325784154600e-06 1.986952925657251414e-06
3.577819375413459966e+02 5.619951550522769451e-06 1.622340270263487896e-06
3.999072872199214999e+02 1.873317183507589676e-06 9.366585917537948379e-07
5.262833362556482371e+02 9.366585917537948379e-07 6.623176418857503302e-07
6.526593852913747469e+02 9.366585917537948379e-07 6.623176418857503302e-07
