# gamma	percentage
0.000000000000000000e+00 9.592951533698845790e-01
7.000000351711012023e-03 9.709899131129647865e-01
1.400000070342202405e-02 9.545847640289217839e-01
2.100000219705190629e-02 9.675789415212331379e-01
2.800000254876291311e-02 9.747257391420043326e-01
3.500000175855505491e-02 9.594575805885384723e-01
4.200000211026606867e-02 9.659546693346942048e-01
4.900000474581481941e-02 9.474379664081504782e-01
5.600000509752582623e-02 9.445142764723805096e-01
6.300000430731797496e-02 9.414281593179565366e-01
7.000000351711010982e-02 9.441894220350727229e-01
7.700000386882110970e-02 9.391541782568020302e-01
8.400000307861325843e-02 9.131658232721793222e-01
9.100000343032427219e-02 9.279467001696835027e-01
9.800000834971077379e-02 9.097548516804476737e-01
1.050000029918274347e-01 8.980600919373674662e-01
1.120000079112139085e-01 8.785688256989003797e-01
1.190000025533305972e-01 8.858780505383255788e-01
1.260000074727170571e-01 8.751578541071687312e-01
1.330000021148337319e-01 8.697977558915902518e-01
1.400000070342202196e-01 8.771069807310154509e-01
1.470000130955255724e-01 8.771069807310154509e-01
1.540000077376422472e-01 8.633006671454346304e-01
1.610000126570287349e-01 8.520931890583161028e-01
1.680000072991454374e-01 8.636255215827424170e-01
1.750000122185318974e-01 8.551793062127399647e-01
1.820000068606485999e-01 8.644376576760118835e-01
1.890000015027652469e-01 8.633006671454346304e-01
1.960000166994215476e-01 8.602145499910106574e-01
