# s	p(s)	error
1.000000000000000000e+00 1.306694294720903038e+00 4.032546141035767834e-02
1.804721766827170226e+00 1.785970180865132650e-01 1.109747873369288339e-02
2.424462017082328114e+00 7.802124913177729826e-02 6.328358956277093175e-03
3.257020655659783159e+00 3.706260296731851006e-02 3.763137179273674197e-03
4.375479375074184496e+00 2.190028567507720444e-02 2.495769180162549488e-03
5.878016072274911963e+00 2.540593441546168743e-02 2.319233895640865264e-03
7.896522868499724623e+00 2.001485828070719702e-02 1.776031478042654037e-03
1.060818355139448244e+01 1.137929626049935181e-02 1.155392482001734843e-03
1.425102670302997687e+01 6.025424273905793590e-03 7.253758414178504334e-04
1.914481976169957633e+01 4.225195128701868773e-03 5.240709563761528208e-04
2.571913809059344302e+01 2.758056389453258320e-03 3.653134930440828597e-04
3.455107294592217926e+01 1.044530570900660624e-03 1.939644575996672259e-04
4.641588833612777165e+01 9.115845295776921426e-04 1.563354570603736930e-04
6.235507341273912374e+01 5.388608912906156945e-04 1.037038268807995422e-04
8.376776400682915380e+01 2.822678229627366940e-04 6.475667975304203665e-05
1.125335582600764610e+02 1.990559435792223903e-04 4.691793584678499284e-05
1.511775070615661605e+02 6.585481033869662625e-05 2.328319148212317080e-05
2.030917620904734804e+02 3.063813972726927898e-05 1.370179262686219397e-05
2.728333376486766610e+02 2.736771321867279152e-05 1.117282213542843469e-05
3.665241237079625876e+02 1.697665551024704668e-05 7.592191150301754006e-06
4.923882631706736674e+02 1.769192312189579863e-05 6.686918399287107557e-06
6.614740641230146139e+02 9.406799331784660500e-06 4.206848551314019405e-06
8.886238162743397879e+02 4.201341672659555211e-06 2.425645745667586836e-06
