# gamma	d2min
0.000000000000000000e+00 4.159360926137837033e+00
7.999999999999930778e-03 4.116859996034062164e+00
1.600000000000002462e-02 4.104108599936513890e+00
2.399999999999995540e-02 4.092536694145259446e+00
3.200000000000004924e-02 4.087336734937973226e+00
3.999999999999997308e-02 4.102098214085041938e+00
4.800000000000007733e-02 4.088522531461146414e+00
5.600000000000000810e-02 4.074644518027580986e+00
6.399999999999993194e-02 4.075567219542050701e+00
7.200000000000003619e-02 4.072001872691724422e+00
7.999999999999994615e-02 4.083961506274479625e+00
8.800000000000005040e-02 4.070148740275006283e+00
9.599999999999998812e-02 4.062652712203279393e+00
1.040000000000000785e-01 4.062602239949002936e+00
1.120000000000000162e-01 4.077620540219896839e+00
1.199999999999999400e-01 4.108699133142189375e+00
1.280000000000000304e-01 4.059794383858853273e+00
1.359999999999999543e-01 4.121664606403903086e+00
1.440000000000000724e-01 4.089343917217068025e+00
1.519999999999999962e-01 4.102066508906903053e+00
1.600000000000000866e-01 4.143921778512299703e+00
1.680000000000000104e-01 4.149246363819132810e+00
1.760000000000001008e-01 4.066160373163805630e+00
1.840000000000000524e-01 4.115998669978250035e+00
1.919999999999999762e-01 4.129826091824318368e+00
2.000000000000000666e-01 4.059351621681254407e+00
