# s	p(s)	error
1.000000000000000000e+00 1.316223614973228484e+00 4.131394407446919298e-02
1.811609194200414219e+00 1.832479333200537908e-01 1.145299583250336192e-02
2.438354098268828540e+00 8.615527569645588246e-02 6.768997742217833756e-03
3.281927872511474220e+00 4.306863442662436231e-02 4.125227012240140732e-03
4.417344703140069662e+00 2.260440453790306392e-02 2.576010971666288767e-03
5.945570708544391181e+00 3.315230091437713911e-02 2.689006684042469231e-03
8.002502278161049531e+00 1.134320731899952223e-02 1.355772590927951417e-03
1.077105056036769071e+01 1.047429555412411444e-02 1.122962355717224909e-03
1.449740670372631612e+01 5.724707314990090321e-03 7.155884143737612901e-04
1.951293422635963282e+01 3.455766570495536968e-03 4.792285986906153665e-04
2.626363527653332852e+01 1.481255760068053966e-03 2.704390644079110559e-04
3.534981105030105653e+01 1.247255582463475303e-03 2.139025677035817619e-04
4.757944314009409226e+01 9.539208155995998212e-04 1.612420471956196985e-04
6.404004271197280218e+01 2.632421174944222977e-04 7.301022711445043613e-05
8.619535664753031767e+01 2.708022511660864102e-04 6.382870272004079377e-05
1.160155301739971492e+02 1.117757280005115107e-04 3.534658876050747310e-05
1.561523006000496423e+02 1.079589374165623283e-04 2.994242188461717871e-05
2.101748011332487067e+02 5.552972215117331567e-05 1.850990738372443743e-05
2.828869434625969461e+02 1.833625855733906094e-05 9.168129278669530472e-06
3.807546021222372019e+02 1.702897387488528646e-05 7.615588634262299466e-06
5.124805876960931528e+02 7.591148224478971363e-06 4.382751470861284408e-06
6.897785379387657940e+02 3.759966317106557697e-06 2.658697679859055523e-06
1.249609141291986816e+03 4.150968463997101982e-06 2.075484231998550991e-06
4.101127070551299767e+03 6.323978809474257381e-07 4.471728300259276740e-07
