# mu	p(mu)	err
-6.359106736965211439e+02 3.221489364613497016e-06 1.859927751851118982e-06
-5.440500475049037732e+02 2.147659576408998011e-06 1.518624650159030656e-06
-5.073057970282568476e+02 2.147659576408998011e-06 1.518624650159030656e-06
-4.521894213132864024e+02 2.147659576408998011e-06 1.518624650159030656e-06
-4.338172960749629965e+02 3.221489364613477111e-06 1.859927751851107547e-06
-4.154451708366394769e+02 1.073829788204499005e-05 3.395747950062429324e-06
-3.970730455983160709e+02 4.295319152817969763e-06 2.147659576408984882e-06
-3.787009203599925513e+02 4.295319152817996021e-06 2.147659576408998011e-06
-3.603287951216691454e+02 6.442978729226954221e-06 2.630335051701936866e-06
-3.419566698833456257e+02 1.181212767024941621e-05 3.561490496181107876e-06
-3.235845446450221061e+02 8.590638305635992043e-06 3.037249300318061313e-06
-3.052124194066987002e+02 9.664468093840431756e-06 3.221489364613477111e-06
-2.868402941683751806e+02 1.395978724665848707e-05 3.871748362491957177e-06
-2.684681689300517746e+02 1.181212767024941621e-05 3.561490496181107876e-06
-2.500960436917282550e+02 1.395978724665840067e-05 3.871748362491933460e-06
-2.317239184534047354e+02 1.932893618768086351e-05 4.555873950477064653e-06
-2.133517932150812157e+02 2.147659576408998011e-05 4.802312805378923078e-06
-1.949796679767578098e+02 3.436255322254396817e-05 6.074498600636122626e-06
-1.766075427384344039e+02 3.543638301074802672e-05 6.168682490059330977e-06
-1.582354175001107706e+02 5.583914898663394828e-05 7.743496724983914354e-06
-1.398632922617873646e+02 8.161106390354192440e-05 9.361431058694190581e-06
-1.214911670234639587e+02 1.020138298794273987e-04 1.046639810695901915e-05
-1.031190417851405527e+02 1.846987235711715250e-04 1.408314564343030499e-05
-8.474691654681691944e+01 2.845648938741922296e-04 1.748068247292878532e-05
-6.637479130849351350e+01 4.628206387161390781e-04 2.229328572573416439e-05
-4.800266607017010756e+01 9.052385114563814197e-04 3.117807048282093330e-05
-2.963054083184647425e+01 1.802960214395353837e-03 4.400082255100807893e-05
-1.125841559352306831e+01 3.882968514147468186e-03 6.457280586401456177e-05
7.113709644800337628e+00 8.260972560657211736e-03 9.418534076582040784e-05
2.548583488312374357e+01 1.347012086323706899e-02 1.202689362789023978e-04
4.385796012144737688e+01 1.295575639468727995e-02 1.179503164274523088e-04
6.223008535977078282e+01 7.088350431937897982e-03 8.724495310931825560e-05
8.060221059809418875e+01 2.759742555685528332e-03 5.443798089634383918e-05
9.897433583641782207e+01 1.008326171124024600e-03 3.290548098385988882e-05
1.173464610747412280e+02 4.080553195177095949e-04 2.093279621391803830e-05
1.357185863130646339e+02 1.868463831475805366e-04 1.416478775139749946e-05
1.540907115513882673e+02 9.557085115020040470e-05 1.013048996096158297e-05
1.724628367897116732e+02 5.261765962202045126e-05 7.516808517431493037e-06
1.908349620280350791e+02 3.865787237536196419e-05 6.442978729226994032e-06
2.092070872663584851e+02 2.791957449331662855e-05 5.475479044331880352e-06
2.275792125046821184e+02 1.395978724665848707e-05 3.871748362491957177e-06
2.459513377430055243e+02 1.395978724665848707e-05 3.871748362491957177e-06
2.643234629813289303e+02 5.369148941022428111e-06 2.401156402689431469e-06
2.826955882196525636e+02 4.295319152817996021e-06 2.147659576408998011e-06
3.010677134579759695e+02 6.442978729226994032e-06 2.630335051701952960e-06
3.194398386962993754e+02 5.369148941022428111e-06 2.401156402689431469e-06
3.378119639346230088e+02 2.147659576408998011e-06 1.518624650159030656e-06
3.561840891729464147e+02 7.516808517431493037e-06 2.841086570002264950e-06
3.745562144112698206e+02 7.516808517431493037e-06 2.841086570002264950e-06
4.113004648879168599e+02 3.221489364613497016e-06 1.859927751851118982e-06
4.480447153645636718e+02 2.147659576408971329e-06 1.518624650159011810e-06
4.847889658412107110e+02 2.147659576408998011e-06 1.518624650159030656e-06
5.950217172711516014e+02 4.295319152817996021e-06 2.147659576408998011e-06
