# gamma	percentage
0.000000000000000000e+00 8.391224810979811544e-01
6.999999983847035763e-03 8.438140604651424015e-01
1.400000112147720827e-02 8.386198118800709533e-01
2.099999995154110469e-02 8.297393223636586601e-01
2.800000108917127806e-02 8.312473300173890411e-01
3.499999991923517101e-02 8.304095479875388541e-01
4.199999874929907784e-02 8.438140604651424015e-01
4.900000104071238621e-02 8.235397353427670319e-01
5.600000217834255611e-02 8.134863509845642326e-01
6.299999870084017906e-02 8.103027792711334776e-01
6.999999983847035590e-02 8.062814255278525355e-01
7.700000212988365733e-02 7.819857466621960018e-01
8.399999749859815568e-02 7.591980754502700712e-01
9.099999979001145711e-02 7.576900677965396902e-01
9.800000092764163395e-02 7.446206681308762398e-01
1.050000020652717969e-01 7.467989014084868149e-01
1.120000043566851122e-01 7.268596890980515424e-01
1.189999951102670567e-01 7.255192378502911543e-01
1.259999974016803581e-01 7.265245762861114454e-01
1.329999985393105211e-01 7.258543506622312513e-01
1.399999996769407118e-01 7.204925456711898102e-01
1.470000019683540271e-01 7.238436737905907803e-01
1.540000031059841901e-01 7.002182205488145517e-01
1.610000042436143253e-01 7.074231460055263598e-01
1.679999961509794359e-01 7.062502511637361868e-01
1.749999972886096267e-01 7.017262282025449327e-01
1.819999984262397896e-01 6.945213027458331245e-01
1.889999891798217480e-01 6.883217157249413853e-01
1.960000018552832679e-01 6.956941975876232975e-01
