# mu	p(mu)	err
-5.181124122879045899e+02 2.440106463665245262e-06 1.725415827274820638e-06
-4.696017370842463379e+02 3.660159695497868316e-06 2.113194185472712914e-06
-4.372612869484740941e+02 2.440106463665245262e-06 1.725415827274820638e-06
-4.210910618805879722e+02 2.440106463665245262e-06 1.725415827274820638e-06
-3.887506117448157283e+02 3.660159695497868316e-06 2.113194185472712914e-06
-3.564101616090434845e+02 6.100266159163113578e-06 2.728121962546054636e-06
-3.402399365411573626e+02 2.440106463665245262e-06 1.725415827274820638e-06
-3.078994864053852325e+02 3.660159695497868316e-06 2.113194185472712914e-06
-2.917292613374991106e+02 1.220053231832622716e-05 3.858147079240535076e-06
-2.755590362696129887e+02 6.100266159163113578e-06 2.728121962546054636e-06
-2.593888112017268668e+02 9.760425854660981047e-06 3.450831654549641276e-06
-2.432185861338407449e+02 1.098047908649360410e-05 3.660159695497867893e-06
-2.270483610659546230e+02 1.220053231832622716e-05 3.858147079240535076e-06
-2.108781359980685011e+02 2.074090494115458515e-05 5.030408343722094346e-06
-1.947079109301823792e+02 2.806122433215032348e-05 5.851169749342453984e-06
-1.785376858622962573e+02 3.050133079581556620e-05 6.100266159163113578e-06
-1.623674607944101353e+02 3.782165018681130114e-05 6.792968904953271923e-06
-1.461972357265240134e+02 6.344276805529637173e-05 8.797928972336149827e-06
-1.300270106586378915e+02 1.012644182421076932e-04 1.111521393163145092e-05
-1.138567855907517696e+02 1.183451634877644024e-04 1.201613079094127904e-05
-9.768656052286564773e+01 1.842280380067260067e-04 1.499226511119281327e-05
-8.151633545497952582e+01 3.233141064356450213e-04 1.986102767869490912e-05
-6.534611038709340392e+01 5.526841140201858805e-04 2.596736489312858828e-05
-4.917588531920750938e+01 9.016193383243082272e-04 3.316660349817814881e-05
-3.300566025132138748e+01 1.738575855361487385e-03 4.605599951276651732e-05
-1.683543518343526557e+01 3.358806547235210476e-03 6.401501998011787774e-05
-6.652101155491436657e-01 6.411379733280432071e-03 8.844334098220719834e-05
1.550501495233697824e+01 1.123913037164211981e-02 1.170996897216647489e-04
3.167524002022310015e+01 1.409771509382595593e-02 1.311486288974379635e-04
4.784546508810922205e+01 1.133429452372506502e-02 1.175943989491572784e-04
6.401569015599534396e+01 6.394298988034775172e-03 8.832545015824090271e-05
8.018591522388146586e+01 2.701197855277426806e-03 5.740736166338402253e-05
9.635614029176758777e+01 1.111468494199519203e-03 3.682459407010838512e-05
1.125263653596537097e+02 4.880212927330490592e-04 2.440106463665245431e-05
1.286965904275398316e+02 2.061889961797132081e-04 1.586069201382409293e-05
1.448668154954259535e+02 9.272404561927932503e-05 1.063617748659720628e-05
1.610370405633120754e+02 7.686335360545523210e-05 9.683872313069256363e-06
1.772072656311981973e+02 4.026175665047654724e-05 7.008672222373686106e-06
1.933774906990843192e+02 2.562111786848507737e-05 5.590986286748500079e-06
2.095477157669704411e+02 1.220053231832622716e-05 3.858147079240535076e-06
2.257179408348565630e+02 8.540372622828357993e-06 3.227957437689751980e-06
2.418881659027426849e+02 1.220053231832622716e-05 3.858147079240535076e-06
2.580583909706288068e+02 8.540372622828357993e-06 3.227957437689751980e-06
2.742286160385149287e+02 7.320319390995736633e-06 2.988507877023476728e-06
2.903988411064010506e+02 3.660159695497919562e-06 2.113194185472742560e-06
3.227392912421730671e+02 3.660159695497868316e-06 2.113194185472712914e-06
4.197606416494897985e+02 2.440106463665245262e-06 1.725415827274820638e-06
5.006117669889204080e+02 2.440106463665245262e-06 1.725415827274820638e-06
