# mu	p(mu)	err
-9.871600459792587117e+02 2.198628134181825570e-06 1.269378545117761791e-06
-8.525633737624934838e+02 1.465752089454562733e-06 1.036443241991672279e-06
-6.102893637723161646e+02 1.465752089454562733e-06 1.036443241991672279e-06
-5.564506948856101189e+02 2.198628134181825570e-06 1.269378545117761791e-06
-5.295313604422569824e+02 2.931504178909125465e-06 1.465752089454562733e-06
-5.026120259989040733e+02 2.931504178909100901e-06 1.465752089454550451e-06
-4.756926915555509368e+02 2.198628134181844205e-06 1.269378545117772379e-06
-4.487733571121980276e+02 3.664380223636375809e-06 1.638760655091363500e-06
-4.218540226688448911e+02 5.130132313090970517e-06 1.939007756185036633e-06
-3.949346882254919819e+02 2.931504178909100901e-06 1.465752089454550451e-06
-3.680153537821388454e+02 7.328760447272814299e-06 2.317557543913643925e-06
-3.410960193387859363e+02 6.595884402545477134e-06 2.198628134181825570e-06
-3.141766848954327997e+02 4.397256268363651140e-06 1.795172354290966474e-06
-2.872573504520796632e+02 5.863008357818250931e-06 2.072886483983344559e-06
-2.603380160087267541e+02 1.832190111818187989e-05 3.664380223636375809e-06
-2.334186815653736176e+02 1.905477716290915522e-05 3.736949253109074978e-06
-2.064993471220204810e+02 2.638353761018213215e-05 4.397256268363688410e-06
-1.795800126786675719e+02 3.957530641527319992e-05 5.385517062872945163e-06
-1.526606782353146627e+02 6.082871171236435733e-05 6.676818527233883735e-06
-1.257413437919617536e+02 9.454100976981770119e-05 8.323871773677565407e-06
-9.882200934860838970e+01 1.802875070029112019e-04 1.149471161212997087e-05
-7.190267490525548055e+01 3.818284193029135884e-04 1.672820676890351244e-05
-4.498334046190257141e+01 9.974442968738131843e-04 2.703706772430494637e-05
-1.806400601854920751e+01 3.306736713809493942e-03 4.922832643683096630e-05
8.855328424803701637e+00 1.003673743254011874e-02 8.576528686785960226e-05
3.577466286815661078e+01 1.397374754481507490e-02 1.011979487473023463e-04
6.269399731150951993e+01 5.936295962290879212e-03 6.595884402545421738e-05
8.961333175486288383e+01 1.407122005876380129e-03 3.211301932418376216e-05
1.165326661982157930e+02 3.217325836352765301e-04 1.535545842215434035e-05
1.434520006415687021e+02 1.253218036483630144e-04 9.583597851323881643e-06
1.703713350849220660e+02 6.376021589127348576e-05 6.835812668099825852e-06
1.972906695282749752e+02 2.931504178909125720e-05 4.635115087827287850e-06
2.242100039716278843e+02 1.099314067090921975e-05 2.838416716063122457e-06
2.511293384149807935e+02 1.612327298399991837e-05 3.437493350185843192e-06
2.780486728583341574e+02 5.863008357818250931e-06 2.072886483983344559e-06
3.049680073016870665e+02 5.130132313090970517e-06 1.939007756185036633e-06
3.318873417450399756e+02 7.328760447272690632e-06 2.317557543913604962e-06
3.857260106317462487e+02 3.664380223636407149e-06 1.638760655091377476e-06
4.126453450750991578e+02 2.931504178909125465e-06 1.465752089454562733e-06
4.395646795184520670e+02 2.198628134181806936e-06 1.269378545117750991e-06
4.664840139618054309e+02 1.465752089454562733e-06 1.036443241991672279e-06
4.934033484051583400e+02 2.198628134181844205e-06 1.269378545117772379e-06
5.203226828485112492e+02 2.931504178909076338e-06 1.465752089454538169e-06
5.741613517352175222e+02 1.465752089454562733e-06 1.036443241991672279e-06
6.280000206219233405e+02 1.465752089454538169e-06 1.036443241991654915e-06
6.818386895086296136e+02 1.465752089454562733e-06 1.036443241991672279e-06
7.087580239519825227e+02 1.465752089454538169e-06 1.036443241991654915e-06
7.625966928386887957e+02 1.465752089454562733e-06 1.036443241991672279e-06
