# mu	p(mu)	err
-1.016328451165974002e+03 1.758836121860016324e-06 1.243684948763066233e-06
-8.592930733290629632e+02 2.638254182790024063e-06 1.523196762624476722e-06
-7.919921971132439467e+02 1.758836121860016324e-06 1.243684948763066233e-06
-6.573904446816059135e+02 1.758836121860007219e-06 1.243684948763059880e-06
-6.125231938710597888e+02 3.517672243720032648e-06 1.758836121860016324e-06
-5.900895684657867832e+02 1.758836121860016324e-06 1.243684948763066233e-06
-5.452223176552407722e+02 1.758836121860025006e-06 1.243684948763072374e-06
-5.227886922499678803e+02 1.758836121860016324e-06 1.243684948763066233e-06
-4.554878160341486364e+02 2.638254182790024063e-06 1.523196762624476722e-06
-4.330541906288756309e+02 3.517672243720032648e-06 1.758836121860016324e-06
-4.106205652236026253e+02 3.517672243720032648e-06 1.758836121860016324e-06
-3.881869398183296198e+02 5.276508365580048125e-06 2.154125519866326853e-06
-3.657533144130566143e+02 6.155926426510056711e-06 2.326721487679448974e-06
-3.433196890077836088e+02 7.035344487440065296e-06 2.487369897526132465e-06
-3.208860636025106032e+02 7.914762548370073882e-06 2.638254182790024486e-06
-2.984524381972375977e+02 9.673598670230089359e-06 2.916699741966740486e-06
-2.760188127919645922e+02 1.231185285302011342e-05 3.290481083741181118e-06
-2.535851873866915867e+02 2.022661540139018561e-05 4.217540858778678706e-06
-2.311515619814185811e+02 2.374428764511021995e-05 4.569590287873430167e-06
-2.087179365761455756e+02 2.638254182790024401e-05 4.816771094488180401e-06
-1.862843111708725701e+02 2.990021407162027836e-05 5.127844408741011103e-06
-1.638506857655995645e+02 6.331810038696059106e-05 7.462109692578399090e-06
-1.414170603603265590e+02 1.064095853725309829e-04 9.673598670230089359e-06
-1.189834349550535535e+02 1.477422342362413475e-04 1.139856083676805330e-05
-9.654980954978054797e+01 2.691019266445824612e-04 1.538353322622303162e-05
-7.411618414450754244e+01 4.924741141208045098e-04 2.081082964464274918e-05
-5.168255873923453692e+01 1.018366114556949363e-03 2.992606813098738788e-05
-2.924893333396153139e+01 2.361237493597071607e-03 4.556879302784273600e-05
-6.815307928688525863e+00 5.863959630281293488e-03 7.181136405495875340e-05
1.561831747658447966e+01 1.160128305978866750e-02 1.010068208228508661e-04
3.805194288185748519e+01 1.256952234487260581e-02 1.051373623758189744e-04
6.048556828713049072e+01 6.442616714373238483e-03 7.527119966009159250e-05
8.291919369240349624e+01 2.213495259360830341e-03 4.412015082549998203e-05
1.053528190976765018e+02 6.578047095756460764e-04 2.405172222868129337e-05
1.277864445029495073e+02 2.620665821571424060e-04 1.518110949552729033e-05
1.502200699082225128e+02 1.081684214943909967e-04 9.753218109140035302e-06
1.726536953134955183e+02 7.738878936184071487e-05 8.249672664918942573e-06
1.950873207187685239e+02 3.693555855906033688e-05 5.699280418384026651e-06
2.175209461240415294e+02 2.726195988883025091e-05 4.896392539675180522e-06
2.399545715293145349e+02 9.673598670229991103e-06 2.916699741966710840e-06
2.623881969345877678e+02 7.035344487440065296e-06 2.487369897526132465e-06
2.848218223398607734e+02 1.319127091395012201e-05 3.405971504335940944e-06
3.072554477451337789e+02 6.155926426510056711e-06 2.326721487679448974e-06
3.296890731504067844e+02 3.517672243720032648e-06 1.758836121860016324e-06
3.521226985556797899e+02 8.794180609300080774e-06 2.780964088027558953e-06
3.745563239609527955e+02 5.276508365580048125e-06 2.154125519866326853e-06
3.969899493662258010e+02 4.397090304650040387e-06 1.966438564880550097e-06
4.867244509873178231e+02 1.758836121860034112e-06 1.243684948763078938e-06
5.091580763925906012e+02 1.758836121859998536e-06 1.243684948763053739e-06
5.315917017978638341e+02 2.638254182790050744e-06 1.523196762624491969e-06
