# gamma	percentage
0.000000000000000000e+00 1.115056818181818166e+01
8.000000412381073900e-03 1.118410669191919204e+01
1.600000082476214780e-02 1.118016098484848442e+01
2.400000009164024103e-02 1.115056818181818166e+01
3.200000279502729361e-02 1.116043244949494984e+01
4.000000206190538338e-02 1.093158143939393945e+01
4.800000018328048207e-02 1.089804292929292906e+01
5.600000288666753118e-02 1.089607007575757613e+01
6.400000444455158921e-02 1.079348169191919204e+01
7.200000600243565418e-02 1.064551767676767646e+01
8.000000412381075288e-02 1.043442234848484773e+01
8.800000453619183372e-02 1.053701073232323182e+01
9.600000151206394827e-02 1.036142676767676818e+01
1.040000030699480132e-01 1.013652146464646542e+01
1.120000057733350624e-01 9.978693181818181657e+00
1.200000073312191273e-01 9.820864898989899672e+00
1.280000088891031784e-01 9.714330808080807955e+00
1.360000115924902275e-01 9.663036616161615910e+00
1.440000131503743064e-01 9.503235479797979224e+00
1.520000032532284884e-01 9.576231060606060552e+00
1.600000059566155375e-01 9.564393939393939448e+00
1.680000075144995886e-01 9.390782828282828731e+00
1.760000090723836674e-01 9.424321338383839120e+00
1.840000003207408474e-01 9.384864267676768179e+00
1.920000030241278965e-01 9.284248737373737015e+00
2.000000045820119476e-01 9.122474747474747403e+00
