# mu	p(mu)	err
-5.535267399370893600e+02 2.252657989996857843e-06 1.007419279138202990e-06
-5.097372800165381932e+02 9.010631959987444287e-07 6.371478961683353066e-07
-4.659478200959870833e+02 4.955847577993093776e-06 1.494244266763150939e-06
-4.221583601754359734e+02 2.252657989996860807e-06 1.007419279138204261e-06
-3.783689002548848634e+02 7.659037165989328438e-06 1.857589366229726111e-06
-3.345794403343337535e+02 1.216435314598303311e-05 2.341030854450325086e-06
-2.907899804137825868e+02 1.621913752797737748e-05 2.703189587996229580e-06
-2.470005204932314200e+02 3.964678062394480442e-05 4.226361015109383747e-06
-2.032110605726803669e+02 7.749143485589191690e-05 5.908666514272843013e-06
-1.594216006521292002e+02 1.734546652297585363e-04 8.840068297610000891e-06
-1.156321407315781471e+02 5.109028321312874144e-04 1.517161393466475111e-05
-7.184268081102698034e+01 1.435393671225997829e-03 2.543010429502076233e-05
-2.805322089047581358e+01 4.187240671806170648e-03 4.343367623258249260e-05
1.573623903007523950e+01 7.603171247837395286e-03 5.852750543249778619e-05
5.952569895062640626e+01 5.696521525104069131e-03 5.066026989409906683e-05
1.033151588711774593e+02 2.139574558899016033e-03 3.104747888411512501e-05
1.471046187917286261e+02 6.338979583851159704e-04 1.689943964040777028e-05
1.908940787122797929e+02 1.928275239437315697e-04 9.320670174436584482e-06
2.346835386328308459e+02 5.992070253391626369e-05 5.195783854804798574e-06
2.784729985533821264e+02 2.027392190997177437e-05 3.022257837414617229e-06
3.222624584739331794e+02 6.757973969990591739e-06 1.744901375991785610e-06
3.660519183944842325e+02 5.406379175992472713e-06 1.560687236300220677e-06
4.098413783150352856e+02 2.252657989996852337e-06 1.007419279138200661e-06
4.536308382355865660e+02 1.802126391997491187e-06 9.010631959987455934e-07
4.974202981561376191e+02 1.351594793998118178e-06 7.803436181501103386e-07
5.412097580766886722e+02 9.010631959987432641e-07 6.371478961683344596e-07
