# mu	p(mu)	err
-1.025740905892454521e+03 3.160547862757763233e-07 1.824743159349891143e-07
-8.384771509023207727e+02 1.158867549677846537e-06 3.494117130909057698e-07
-6.512133959121870248e+02 2.528438290206210587e-06 5.161153047600291678e-07
-4.639496409220532769e+02 8.638830824871219328e-06 9.539992714929540065e-07
-2.766858859319195290e+02 7.427287477480743773e-05 2.797278294046986741e-06
-8.942213094178578103e+01 5.011786097570422073e-03 2.297824321633785998e-05
9.784162404834751214e+01 2.335644870577981071e-04 4.960482975096393995e-06
2.851053790384817148e+02 5.372931366688196808e-06 7.523608785622877380e-07
4.723691340286154627e+02 1.158867549677852042e-06 3.494117130909074638e-07
6.596328890187483012e+02 2.107031908505175401e-07 1.489896550680442530e-07
8.468966440088820491e+02 2.107031908505175401e-07 1.489896550680442530e-07
