# s	p(s)	error
1.000000000000000000e+00 1.160396148869030197e+00 3.676855898767583675e-02
1.811609194200414219e+00 1.704230361578559227e-01 1.046900389077867928e-02
2.438354098268828540e+00 8.934942720633312629e-02 6.533877222754582575e-03
3.281927872511474220e+00 3.940405230652398172e-02 3.740067131178693906e-03
4.417344703140069662e+00 2.742956936278593411e-02 2.689690565967159646e-03
5.945570708544391181e+00 3.723119646218593648e-02 2.701034879649578599e-03
8.002502278161049531e+00 1.310278585975985406e-02 1.381154900342957195e-03
1.077105056036769071e+01 1.438601526585485575e-02 1.247425725874892885e-03
1.449740670372631612e+01 6.750499413224786069e-03 7.365398699966087476e-04
1.951293422635963282e+01 4.060067672954062803e-03 4.923555253748617636e-04
2.626363527653332852e+01 2.395443111868216651e-03 3.259785184412118783e-04
3.534981105030105653e+01 1.417190717836459574e-03 2.161195583586978416e-04
4.757944314009409226e+01 1.077408163882608840e-03 1.624253920756524392e-04
6.404004271197280218e+01 4.184303363279865285e-04 8.724875640313484518e-05
8.619535664753031767e+01 3.379115823868101480e-04 6.758231647736203502e-05
1.160155301739971492e+02 2.510561242574971307e-04 5.021122485149942343e-05
1.561523006000496423e+02 8.207128597391534573e-05 2.474542378522137000e-05
2.101748011332487067e+02 3.325964011150485232e-05 1.357819121696518407e-05
2.828869434625969461e+02 2.882916588776314245e-05 1.089640049206398663e-05
3.807546021222372019e+02 1.223944627718478037e-05 6.119723138592390184e-06
5.124805876960931528e+02 9.093467361205763707e-06 4.546733680602881853e-06
6.897785379387657940e+02 3.378059218391986073e-06 2.388648580574701613e-06
9.284145445194744752e+02 2.509776222796041589e-06 1.774679786399840286e-06
1.249609141291986816e+03 1.864673258010790240e-06 1.318523105436642537e-06
