# s	p(s)	error
1.000000000000000000e+00 1.299788651147251173e+00 3.975427961913862579e-02
1.804721766827170226e+00 1.785379948822705953e-01 1.096750184255037945e-02
2.424462017082328114e+00 8.074311998106192823e-02 6.363449308928716130e-03
3.257020655659783159e+00 3.733142110648271506e-02 3.733142110648271419e-03
4.375479375074184496e+00 2.612144802261194554e-02 2.694221647356670555e-03
5.878016072274911963e+00 2.523620792249827230e-02 2.284778911547497536e-03
7.896522868499724623e+00 2.109500852375885763e-02 1.802268207187372392e-03
1.060818355139448244e+01 1.146183124187783071e-02 1.146183124187783158e-03
1.425102670302997687e+01 8.446641779631577571e-03 8.489194400478104275e-04
1.914481976169957633e+01 2.730940317006469095e-03 4.164644940071567038e-04
2.571913809059344302e+01 2.269237033757389149e-03 3.275361530737241227e-04
3.455107294592217926e+01 1.266881510224917738e-03 2.111469183708196320e-04
4.641588833612777165e+01 8.644548369641333763e-04 1.504822716982812645e-04
6.235507341273912374e+01 5.264862152902049890e-04 1.013223193741423701e-04
8.376776400682915380e+01 2.177255375451501497e-04 5.621649206376160891e-05
1.125335582600764610e+02 8.643765399682308602e-05 3.056032564550504005e-05
1.511775070615661605e+02 4.825686519599689810e-05 1.970078271941082539e-05
2.030917620904734804e+02 3.592145985560422211e-05 1.466487457701670897e-05
2.728333376486766610e+02 3.119576496324706557e-05 1.179089086445339127e-05
3.665241237079625876e+02 6.634717978117426691e-06 4.691454073587131525e-06
4.923882631706736674e+02 9.877506735517129131e-06 4.938753367758564565e-06
6.614740641230146139e+02 9.190776800157037229e-06 4.110240338235827154e-06
8.886238162743397879e+02 4.104859922347958130e-06 2.369941981153299931e-06
2.894266124716748891e+03 1.260311295605347580e-06 7.276410657804734372e-07
