# gamma	percentage
0.000000000000000000e+00 1.238952020202020243e+01
8.000000191767662680e-03 1.249408143939393945e+01
1.600000038353532883e-02 1.230863320707070763e+01
2.400000057530299324e-02 1.250394570707070763e+01
3.200000076707065072e-02 1.246251578282828198e+01
4.000000095883832207e-02 1.233625315656565569e+01
4.800000115060598649e-02 1.226523042929292906e+01
5.600000248384784385e-02 1.213304924242424221e+01
6.400000153414130144e-02 1.213896780303030276e+01
7.200000172590897973e-02 1.210345643939393945e+01
8.000000191767664415e-02 1.200284090909090828e+01
8.800000325091850151e-02 1.188644255050505016e+01
9.600000230121197298e-02 1.163983585858585812e+01
1.040000082003506021e-01 1.155500315656565569e+01
1.120000038262214948e-01 1.116832386363636331e+01
1.200000085838859309e-01 1.105389835858585812e+01
1.280000042097568236e-01 1.085661300505050519e+01
1.360000089674212598e-01 1.088028724747474740e+01
1.440000045932921802e-01 1.078756313131313149e+01
1.520000093509565886e-01 1.086253156565656575e+01
1.600000049768274812e-01 1.054292929292929237e+01
1.680000108759660826e-01 1.060211489898989967e+01
1.760000053603628378e-01 1.067905618686868685e+01
1.840000101180272463e-01 1.058435921717171802e+01
1.920000057438981389e-01 1.046993371212121282e+01
2.000000002282948386e-01 1.048571654040403978e+01
