# gamma	percentage
0.000000000000000000e+00 9.880050505050505194e+00
7.999999981539468452e-03 9.864267676767676463e+00
1.599999996307893690e-02 9.931344696969697239e+00
2.400000109840154383e-02 9.887941919191918672e+00
3.199999877237474227e-02 9.911616161616160880e+00
3.999999990769734226e-02 9.720249368686868507e+00
4.800000104301994919e-02 9.588068181818181657e+00
5.600000217834255611e-02 9.578203914141413478e+00
6.399999754474948455e-02 9.351325757575757791e+00
7.199999868007207759e-02 9.305950126262626299e+00
7.999999981539468452e-02 9.230981691919192045e+00
8.800000095071729145e-02 8.956755050505050164e+00
9.600000208603989837e-02 8.840356691919192045e+00
1.039999974524468268e-01 8.842329545454544970e+00
1.120000043566851122e-01 8.558238636363636687e+00
1.199999997230920545e-01 8.566130050505050164e+00
1.279999950894989691e-01 8.453677398989899672e+00
1.360000019937372129e-01 8.473405934343434254e+00
1.439999973601441552e-01 8.412247474747474030e+00
1.520000042643824545e-01 8.428030303030302761e+00
1.599999996307893690e-01 8.203125000000000000e+00
1.679999961509794359e-01 8.315577651515152269e+00
1.760000019014345829e-01 8.386600378787878896e+00
1.839999972678415252e-01 8.226799242424242209e+00
1.920000041720797967e-01 8.189315025252525970e+00
1.999999995384867113e-01 8.266256313131313149e+00
