# gamma	xc	yc
0.000000000000000000e+00 nan nan
6.999999999999970655e-03 1.163472463768115972e+01 7.962000000000003297e+00
1.399999999999994131e-02 1.279819710144927569e+01 9.099428571428575196e+00
2.100000000000007416e-02 1.279819710144927569e+01 1.137428571428571900e+01
2.800000000000004222e-02 1.047125217391304375e+01 9.099428571428575196e+00
3.500000000000001721e-02 9.307779710144927776e+00 1.023685714285714710e+01
4.199999999999998179e-02 9.307779710144927776e+00 1.023685714285714710e+01
4.899999999999995332e-02 1.047125217391304375e+01 1.251171428571429090e+01
5.599999999999992484e-02 1.396166956521739166e+01 1.023685714285714710e+01
6.300000000000004208e-02 1.279819710144927569e+01 1.023685714285714710e+01
7.000000000000003442e-02 1.163472463768115972e+01 1.251171428571429090e+01
7.699999999999999900e-02 1.163472463768115972e+01 1.592400000000000659e+01
8.399999999999996358e-02 nan 1.706142857142857849e+01
9.099999999999994205e-02 3.141375652173913124e+01 2.616085714285715369e+01
9.800000000000007316e-02 3.374070144927536319e+01 2.502342857142858179e+01
1.050000000000000377e-01 nan 2.616085714285715369e+01
1.120000000000000162e-01 nan 2.274857142857143799e+01
1.189999999999999808e-01 nan 2.274857142857143799e+01
1.259999999999999454e-01 nan 2.161114285714286609e+01
1.330000000000000904e-01 nan 2.047371428571429419e+01
1.400000000000000688e-01 nan 2.047371428571429419e+01
1.470000000000000195e-01 nan 2.047371428571429419e+01
1.539999999999999980e-01 nan 2.047371428571429419e+01
1.609999999999999765e-01 nan 1.933628571428572229e+01
1.679999999999999272e-01 nan 2.047371428571429419e+01
1.749999999999999056e-01 nan 1.933628571428572229e+01
1.820000000000000506e-01 nan 1.933628571428572229e+01
1.890000000000000013e-01 nan 2.047371428571429419e+01
1.959999999999999798e-01 nan 1.933628571428572229e+01
