# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.000000000000053922e-03 1.622328115942030990e+01 9.063646753246757726e+00
1.399999999999994478e-02 1.738208695652176061e+01 9.063646753246757726e+00
2.100000000000000130e-02 2.665253333333336627e+01 1.586138181818182602e+01
2.800000000000005262e-02 9.270446376811605660e+00 1.359547012987013659e+01
3.499999999999994782e-02 1.274686376811595778e+01 1.132955844155844716e+01
4.200000000000000261e-02 1.042925217391305637e+01 1.132955844155844716e+01
4.900000000000005046e-02 3.592297971014497193e+01 1.132955844155844716e+01
5.599999999999994565e-02 1.274686376811595778e+01 1.246251428571429187e+01
6.300000000000000044e-02 2.549372753623191556e+01 1.132955844155844716e+01
7.000000000000004829e-02 2.433492173913046486e+01 1.246251428571429187e+01
7.699999999999992961e-02 1.274686376811595778e+01 1.132955844155844716e+01
8.400000000000000522e-02 1.158805797101450707e+01 1.246251428571429187e+01
9.100000000000005307e-02 1.506447536231885920e+01 1.359547012987013659e+01
9.799999999999994826e-02 2.201731014492756344e+01 1.132955844155844716e+01
1.049999999999999961e-01 3.128775652173916910e+01 1.132955844155844716e+01
1.120000000000000578e-01 nan 1.132955844155844716e+01
1.189999999999999392e-01 nan 1.019660259740260244e+01
1.260000000000000009e-01 nan 1.132955844155844716e+01
1.330000000000000626e-01 nan 1.019660259740260244e+01
1.399999999999999578e-01 nan 1.019660259740260244e+01
1.469999999999999918e-01 nan 1.132955844155844716e+01
1.540000000000000535e-01 nan 1.246251428571429187e+01
1.610000000000001152e-01 nan 1.246251428571429187e+01
1.680000000000000104e-01 nan 1.359547012987013659e+01
1.750000000000000444e-01 nan 1.359547012987013659e+01
1.819999999999999396e-01 nan 1.359547012987013659e+01
1.890000000000000013e-01 nan 1.359547012987013659e+01
1.960000000000000631e-01 nan 1.472842597402598130e+01
