# r	c(r)	err
1.338710999999999984e+00 7.965105854690983644e-01 1.000000000000000000e+00
1.587847000000000008e+00 -3.019469379309169810e-01 7.071067811865474617e-01
1.697706047619048197e+00 -1.254084421100622182e-01 1.543033499620919125e-01
1.808144810344827880e+00 -1.609017841821223233e-02 7.580980435789033689e-02
1.952177103351954379e+00 1.252952723589245976e-01 5.285164225816899042e-02
2.065960362149532159e+00 -4.016192841768069510e-02 4.833682445228317665e-02
2.197324035211260185e+00 -7.153410673990984181e-02 5.933908290969266280e-02
2.332064199999993370e+00 3.597241731528073166e-02 1.054092553389459758e-01
2.446928312499991875e+00 2.259497182444188956e-01 1.767766952966368654e-01
2.609509599999978668e+00 -6.812113034824506252e-01 2.236067977499789639e-01
2.752624253333342708e+00 -8.479775295525170120e-02 1.154700538379251351e-01
2.880282556818183348e+00 -2.878952215286345595e-02 7.537783614444090730e-02
3.010950627819555692e+00 3.888932473215597763e-02 6.131393394849658091e-02
3.139713292479121343e+00 -2.481370202331364266e-02 5.277798139692595203e-02
3.270276540178563174e+00 -3.375775909608004499e-02 4.724555912615339970e-02
3.405932390804593091e+00 -1.192039906442518554e-04 4.376881095324085258e-02
3.537255437158458360e+00 -1.018031288358770339e-02 4.267895997763199167e-02
3.668218494584828182e+00 1.674687268842421639e-02 4.248592886620873588e-02
3.807536761904754652e+00 -5.499744332043374900e-02 4.364357804719847661e-02
3.937664014209590224e+00 2.641709044576421098e-02 4.214497519610895665e-02
4.069676334476781676e+00 -1.474373246047302327e-02 4.141576832812910586e-02
4.201301366541350113e+00 1.183563813551441815e-02 4.335549847620599750e-02
4.340190314410579120e+00 -5.797015999505045897e-02 4.672693135159977640e-02
4.471060770354935876e+00 -1.815118068605810903e-02 4.569116623849538150e-02
4.605300709796664727e+00 4.537745048060916504e-03 4.299335803923477750e-02
4.736493437762244518e+00 1.614486458379481640e-02 3.739787960033828795e-02
4.871394967377618457e+00 2.668346328436142778e-02 3.542181734879072674e-02
5.003810602876122005e+00 1.039739753582386884e-02 3.325950526188696521e-02
5.136144635576924244e+00 3.280933475456391385e-02 3.100868364730211685e-02
5.269705315981759064e+00 5.198486316301656474e-02 3.021989426077497168e-02
5.401285197452285303e+00 -3.335577180316261214e-02 3.016484887033808043e-02
5.533907294514000874e+00 6.126349920087297007e-02 3.102360242788488112e-02
5.671249902687685918e+00 -7.818434221553633920e-03 3.044312827739914865e-02
5.800673155321129926e+00 -3.376262352036697723e-02 3.096405611113162495e-02
5.934754764279070116e+00 2.715236377979236490e-02 3.011010318298389110e-02
6.068330827792185467e+00 9.357854033186311857e-03 2.919785812368918751e-02
6.202074708474500930e+00 1.164012379837251962e-02 2.911112548697910099e-02
6.335459213101245268e+00 6.929296561056440609e-03 2.879561418604533948e-02
6.470041574418631036e+00 4.161939588565328335e-03 2.784230231948522580e-02
6.600387230769205971e+00 -2.823323822505402481e-02 2.597621667330655623e-02
6.734041342729073065e+00 -3.760227493833277063e-02 2.531037317762768746e-02
6.868128457636978546e+00 -6.730667003803905701e-02 2.442659843730157418e-02
6.999861651097695869e+00 -2.569316331578123253e-02 2.372227226601912597e-02
7.134699620075672044e+00 -8.259420568797914974e-03 2.323069967623409005e-02
7.266026269058637688e+00 5.021847070678107754e-03 2.367568619051892143e-02
7.401658864061708698e+00 1.011449248969138216e-02 2.345970444242940697e-02
7.532867645810868318e+00 4.577847686794542237e-02 2.332530044638304184e-02
7.667049022727108643e+00 1.207535273581303694e-03 2.326210525996177253e-02
7.800486619689217527e+00 5.679200413016391620e-03 2.276257268029927006e-02
7.932842328125261133e+00 1.889280854390388426e-02 2.209708691207960818e-02
