# mu	p(mu)	err
-1.705142240191688870e+03 6.631469004671001669e-07 4.689156702431269992e-07
-1.169644545618276879e+03 6.631469004671001669e-07 4.689156702431269992e-07
-1.110144801776786608e+03 6.631469004671001669e-07 4.689156702431269992e-07
-9.316455702523157925e+02 6.631469004671052491e-07 4.689156702431305461e-07
-8.721458264108259755e+02 6.631469004671001669e-07 4.689156702431269992e-07
-7.531463387278454320e+02 1.657867251167750576e-06 7.414207742563614893e-07
-6.936465948863551603e+02 1.657867251167750576e-06 7.414207742563614893e-07
-6.341468510448648885e+02 2.984161052101950910e-06 9.947203507006503033e-07
-5.746471072033746168e+02 1.989440701401300607e-06 8.121857653263096611e-07
-5.151473633618843451e+02 2.984161052101950910e-06 9.947203507006503033e-07
-4.556476195203940733e+02 8.289336255838751822e-06 1.657867251167750364e-06
-3.961478756789038016e+02 7.294615905138101942e-06 1.555217336514472933e-06
-3.366481318374135299e+02 1.293136455910845352e-05 2.070675533030571119e-06
-2.771483879959232581e+02 2.122070081494753060e-05 2.652587601868441325e-06
-2.176486441544338959e+02 5.205703168666736856e-05 4.154603423344464823e-06
-1.581489003129436242e+02 1.246716172878148572e-04 6.429447743804865830e-06
-9.864915647145335242e+01 4.966970284498580749e-04 1.283322046268477544e-05
-3.914941262996308069e+01 4.088300641379672903e-03 3.681809268897961188e-05
2.035033121152719104e+01 1.029867136425406497e-02 5.843599915349426051e-05
7.985007505301746278e+01 1.445991816468512143e-03 2.189640371375955089e-05
1.393498188945077345e+02 1.415818632497259052e-04 6.851626587038021361e-06
1.988495627359980062e+02 3.779937332662470899e-05 3.540235674439623678e-06
2.583493065774882780e+02 1.425765836004265449e-05 2.174272516197213750e-06
3.178490504189785497e+02 9.284056606539403396e-06 1.754521781339249843e-06
3.773487942604688214e+02 7.957762805605202427e-06 1.624371530652619322e-06
4.368485381019590932e+02 6.299895554437452062e-06 1.445295161929157530e-06
4.963482819434493649e+02 1.989440701401300607e-06 8.121857653263096611e-07
5.558480257849396367e+02 1.989440701401331100e-06 8.121857653263220490e-07
6.153477696264289989e+02 2.652587601868400668e-06 9.378313404862539983e-07
6.748475134679192706e+02 9.947203507006503033e-07 5.743020622454194482e-07
8.533467449923900858e+02 6.631469004671001669e-07 4.689156702431269992e-07
9.128464888338803576e+02 1.657867251167750576e-06 7.414207742563614893e-07
1.091345720358351173e+03 6.631469004671001669e-07 4.689156702431269992e-07
2.578839316395606147e+03 6.631469004671001669e-07 4.689156702431269992e-07
