# gamma	xc	yc
0.000000000000000000e+00 nan nan
6.999999999999999278e-03 1.042780145650432644e+01 1.131213122038964514e+01
1.399999999999999856e-02 1.158644606278258493e+01 1.470577058650653868e+01
2.099999999999999784e-02 1.042780145650432644e+01 1.470577058650653868e+01
2.799999999999999711e-02 1.274509066906084342e+01 9.049704976311716109e+00
3.499999999999999639e-02 1.042780145650432644e+01 1.018091809835068062e+01
4.199999999999999567e-02 1.042780145650432644e+01 9.049704976311716109e+00
4.899999999999999495e-02 1.274509066906084342e+01 9.049704976311716109e+00
5.599999999999999423e-02 1.042780145650432644e+01 9.049704976311716109e+00
6.300000000000000044e-02 nan 7.918491854272751596e+00
6.999999999999999278e-02 nan 7.918491854272751596e+00
7.699999999999999900e-02 nan 7.918491854272751596e+00
8.399999999999999134e-02 nan 7.918491854272751596e+00
9.099999999999999756e-02 2.780747055067820384e+01 9.049704976311716109e+00
9.799999999999998990e-02 nan 9.049704976311716109e+00
1.049999999999999961e-01 nan 2.828032805097411284e+01
1.119999999999999885e-01 1.969695830673039438e+01 3.167396741709100638e+01
1.189999999999999947e-01 2.433153673184342836e+01 3.506760678320789992e+01
1.260000000000000009e-01 2.085560291300865288e+01 nan
1.329999999999999793e-01 1.622102448789561890e+01 nan
1.399999999999999856e-01 1.622102448789561890e+01 nan
1.469999999999999918e-01 1.506237988161736041e+01 nan
1.539999999999999980e-01 1.506237988161736041e+01 nan
1.609999999999999765e-01 1.506237988161736041e+01 nan
1.679999999999999827e-01 1.506237988161736041e+01 nan
1.749999999999999889e-01 1.506237988161736041e+01 nan
1.819999999999999951e-01 1.506237988161736041e+01 nan
1.889999999999999736e-01 1.506237988161736041e+01 nan
1.959999999999999798e-01 1.506237988161736041e+01 nan
