# gamma	percentage
0.000000000000000000e+00 8.598072920280933618e-01
7.000000440855306399e-03 8.637604290029351484e-01
1.399999973364991768e-02 8.759492680086973238e-01
2.100000132256592267e-02 8.606308622311852341e-01
2.800000061536053395e-02 8.616191464748959028e-01
3.499999990815514522e-02 8.617838605155142551e-01
4.200000149707114327e-02 8.650781413278824106e-01
4.899999849374436778e-02 8.555247269720146486e-01
5.600000123072106789e-02 8.612897183936589762e-01
6.300000281963706594e-02 8.500891636316071365e-01
6.999999866824958838e-02 8.403710352351211332e-01
7.700000140522629544e-02 8.346060438134768056e-01
8.400000299414228655e-02 8.263703417825563058e-01
9.099999999081552493e-02 8.153345010611229293e-01
9.799999698748873556e-02 8.107225079238074006e-01
1.049999985764047405e-01 7.970512425524796107e-01
1.120000013133814337e-01 7.911215370902170418e-01
1.190000029022974248e-01 7.845329754654805088e-01
1.260000056392741319e-01 7.631201501850873870e-01
1.330000072281901369e-01 7.566963026009694282e-01
1.399999984845598788e-01 7.535667358292197360e-01
1.470000012215365859e-01 7.509313111793252116e-01
1.540000028104525909e-01 7.474723163263387038e-01
1.610000043993685681e-01 7.405543266203654662e-01
1.680000071363453029e-01 7.507665971387066373e-01
1.749999983927150449e-01 7.441780355139705483e-01
1.819999999816310499e-01 7.364364756049051053e-01
1.890000130511539922e-01 7.328127667113002452e-01
1.959999928269167691e-01 7.328127667113002452e-01
